ocid,id,awards/0/id
ocds-lcuori-WRz5vG-N°04-2014-2,ocds-lcuori-WRz5vG-N°04-2014-2/4,WRz5vG-N°04-2014-2
ocds-lcuori-jRDA5r-solicitud 983-1,ocds-lcuori-jRDA5r-solicitud 983-1/3,jRDA5r-solicitud 983-1
ocds-lcuori-jRDA5r-solicitud 766-1,ocds-lcuori-jRDA5r-solicitud 766-1/3,jRDA5r-solicitud 766-1
ocds-lcuori-PLeAqL-COPECO-CM-15-08-2014-1,ocds-lcuori-PLeAqL-COPECO-CM-15-08-2014-1/3,PLeAqL-COPECO-CM-15-08-2014-1
ocds-lcuori-orvovL-UNAH-SEAF-OC-0978-2014-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-0978-2014-1/3,orvovL-UNAH-SEAF-OC-0978-2014-1
ocds-lcuori-PLeAqL-COPECO-CM-10-08-2014-1,ocds-lcuori-PLeAqL-COPECO-CM-10-08-2014-1/3,PLeAqL-COPECO-CM-10-08-2014-1
ocds-lcuori-wrVJ9r-026-DICTA-2014-1,ocds-lcuori-wrVJ9r-026-DICTA-2014-1/3,wrVJ9r-026-DICTA-2014-1
ocds-lcuori-0rwm9G-C-20140054-1,ocds-lcuori-0rwm9G-C-20140054-1/3,0rwm9G-C-20140054-1
ocds-lcuori-orvPvG-CM-HEAC-007-1,ocds-lcuori-orvPvG-CM-HEAC-007-1/3,orvPvG-CM-HEAC-007-1
ocds-lcuori-2LAakL-39-2014-2,ocds-lcuori-2LAakL-39-2014-2/4,2LAakL-39-2014-2
ocds-lcuori-Zr56vL-40916-1,ocds-lcuori-Zr56vL-40916-1/3,Zr56vL-40916-1
ocds-lcuori-orvPvG-CM-HEAC-008-1,ocds-lcuori-orvPvG-CM-HEAC-008-1/3,orvPvG-CM-HEAC-008-1
ocds-lcuori-2LAzdG-ADQ-305-2014-1,ocds-lcuori-2LAzdG-ADQ-305-2014-1/3,2LAzdG-ADQ-305-2014-1
ocds-lcuori-DRWQ0L-HONDUCOR DC-0492-2014-1,ocds-lcuori-DRWQ0L-HONDUCOR DC-0492-2014-1/3,DRWQ0L-HONDUCOR DC-0492-2014-1
ocds-lcuori-Zr56vL-40813-1,ocds-lcuori-Zr56vL-40813-1/3,Zr56vL-40813-1
ocds-lcuori-DRWQ0L-HONDUCOR DC-0493-2014-1,ocds-lcuori-DRWQ0L-HONDUCOR DC-0493-2014-1/3,DRWQ0L-HONDUCOR DC-0493-2014-1
ocds-lcuori-PR847R-ICF-SCS-74-2014-1,ocds-lcuori-PR847R-ICF-SCS-74-2014-1/3,PR847R-ICF-SCS-74-2014-1
ocds-lcuori-DL9kwR-CC-5426-TSC-2014-1,ocds-lcuori-DL9kwR-CC-5426-TSC-2014-1/3,DL9kwR-CC-5426-TSC-2014-1
ocds-lcuori-DRWQ0L-HONDUCOR DC-0494-2014-1,ocds-lcuori-DRWQ0L-HONDUCOR DC-0494-2014-1/3,DRWQ0L-HONDUCOR DC-0494-2014-1
ocds-lcuori-0rwm9G-C-20140055-1,ocds-lcuori-0rwm9G-C-20140055-1/3,0rwm9G-C-20140055-1
ocds-lcuori-2LAzdG-ADQ-308-2014-1,ocds-lcuori-2LAzdG-ADQ-308-2014-1/3,2LAzdG-ADQ-308-2014-1
ocds-lcuori-MrMPYR-208-2014-1,ocds-lcuori-MrMPYR-208-2014-1/3,MrMPYR-208-2014-1
ocds-lcuori-MrMPYR-209-2014-1,ocds-lcuori-MrMPYR-209-2014-1/3,MrMPYR-209-2014-1
ocds-lcuori-2LAzdG-ADQ-304-2014-1,ocds-lcuori-2LAzdG-ADQ-304-2014-1/3,2LAzdG-ADQ-304-2014-1
ocds-lcuori-2LAzdG-ADQ-300-32014-1,ocds-lcuori-2LAzdG-ADQ-300-32014-1/4,2LAzdG-ADQ-300-32014-1
ocds-lcuori-orvDGM-006-14-1,ocds-lcuori-orvDGM-006-14-1/3,orvDGM-006-14-1
ocds-lcuori-MrMPYR-138-2014-1,ocds-lcuori-MrMPYR-138-2014-1/3,MrMPYR-138-2014-1
ocds-lcuori-7GX4eG-072/2014-1,ocds-lcuori-7GX4eG-072/2014-1/3,7GX4eG-072/2014-1
ocds-lcuori-kR2paL-10-32-2014-1,ocds-lcuori-kR2paL-10-32-2014-1/3,kR2paL-10-32-2014-1
ocds-lcuori-XRbOkr-CS-CSJ-2014-0919-1,ocds-lcuori-XRbOkr-CS-CSJ-2014-0919-1/3,XRbOkr-CS-CSJ-2014-0919-1
ocds-lcuori-XRbOkr-CS-CSJ-2014-0920-1,ocds-lcuori-XRbOkr-CS-CSJ-2014-0920-1/3,XRbOkr-CS-CSJ-2014-0920-1
ocds-lcuori-XRbOkr-CS-CSJ-2014-0921-1,ocds-lcuori-XRbOkr-CS-CSJ-2014-0921-1/3,XRbOkr-CS-CSJ-2014-0921-1
ocds-lcuori-XRbOkr-CS-CSJ-2014-0922-1,ocds-lcuori-XRbOkr-CS-CSJ-2014-0922-1/3,XRbOkr-CS-CSJ-2014-0922-1
ocds-lcuori-XRbOkr-CS-CSJ-2014-0924-1,ocds-lcuori-XRbOkr-CS-CSJ-2014-0924-1/3,XRbOkr-CS-CSJ-2014-0924-1
ocds-lcuori-ZGqW9r-CM-045-IPM-2014-1,ocds-lcuori-ZGqW9r-CM-045-IPM-2014-1/3,ZGqW9r-CM-045-IPM-2014-1
ocds-lcuori-KLgDwG-CM-IHT-166-2014-1,ocds-lcuori-KLgDwG-CM-IHT-166-2014-1/3,KLgDwG-CM-IHT-166-2014-1
ocds-lcuori-XRbOkr-CS-CSJ-2014-0926-1,ocds-lcuori-XRbOkr-CS-CSJ-2014-0926-1/3,XRbOkr-CS-CSJ-2014-0926-1
ocds-lcuori-ZGqW9r-CM-046-IPM-2014-1,ocds-lcuori-ZGqW9r-CM-046-IPM-2014-1/3,ZGqW9r-CM-046-IPM-2014-1
ocds-lcuori-XRbOkr-CS-CSJ-2014-0933-1,ocds-lcuori-XRbOkr-CS-CSJ-2014-0933-1/3,XRbOkr-CS-CSJ-2014-0933-1
ocds-lcuori-XRbOkr-CS-CSJ-2014-0935-1,ocds-lcuori-XRbOkr-CS-CSJ-2014-0935-1/3,XRbOkr-CS-CSJ-2014-0935-1
ocds-lcuori-KLgDwG-CM-IHT-167-2014-1,ocds-lcuori-KLgDwG-CM-IHT-167-2014-1/3,KLgDwG-CM-IHT-167-2014-1
ocds-lcuori-KLgDwG-CM-IHT-168-2014-1,ocds-lcuori-KLgDwG-CM-IHT-168-2014-1/3,KLgDwG-CM-IHT-168-2014-1
ocds-lcuori-XRbOkr-CS-CSJ-2014-0943-1,ocds-lcuori-XRbOkr-CS-CSJ-2014-0943-1/3,XRbOkr-CS-CSJ-2014-0943-1
ocds-lcuori-XRbOkr-CS-CSJ-2014-0946-1,ocds-lcuori-XRbOkr-CS-CSJ-2014-0946-1/3,XRbOkr-CS-CSJ-2014-0946-1
ocds-lcuori-XRbOkr-CS-CSJ-2014-0948-1,ocds-lcuori-XRbOkr-CS-CSJ-2014-0948-1/3,XRbOkr-CS-CSJ-2014-0948-1
ocds-lcuori-XRbOkr-CS-CSJ-2014-0950-1,ocds-lcuori-XRbOkr-CS-CSJ-2014-0950-1/3,XRbOkr-CS-CSJ-2014-0950-1
ocds-lcuori-orvPDG-LP-026-ONCAE-2014-2,ocds-lcuori-orvPDG-LP-026-ONCAE-2014-2/3,orvPDG-LP-026-ONCAE-2014-2
ocds-lcuori-KLgDwG-CM-IHT-169-2014-1,ocds-lcuori-KLgDwG-CM-IHT-169-2014-1/3,KLgDwG-CM-IHT-169-2014-1
ocds-lcuori-grxXor-LIC-025-HAME-2014-2,ocds-lcuori-grxXor-LIC-025-HAME-2014-2/3,grxXor-LIC-025-HAME-2014-2
ocds-lcuori-JLKQxR-LP. 016-14-2,ocds-lcuori-JLKQxR-LP. 016-14-2/3,JLKQxR-LP. 016-14-2
ocds-lcuori-lRojQG-032-14-1,ocds-lcuori-lRojQG-032-14-1/3,lRojQG-032-14-1
ocds-lcuori-grxq2L-CM-232-2014-1,ocds-lcuori-grxq2L-CM-232-2014-1/3,grxq2L-CM-232-2014-1
ocds-lcuori-PGJPBr-146-2014-1,ocds-lcuori-PGJPBr-146-2014-1/3,PGJPBr-146-2014-1
