ocid,id,parties/0/id,parties/0/memberOf/0/id,parties/0/memberOf/0/name
ocds-lcuori-5118,ocds-lcuori-5118/3-contract,Dzn3Py-byP1K8,Dzn3Py,Secretaria de Seguridad
ocds-lcuori-5118,ocds-lcuori-5118/3-contract,Dzn3Py-byP1K8-prbvrM,Dzn3Py-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5120,ocds-lcuori-5120/3-contract,prb3pz-byP1K8,prb3pz,Direccion de la Marina Mercante
ocds-lcuori-5120,ocds-lcuori-5120/3-contract,prb3pz-byP1K8-NzBWyw,prb3pz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,7zvevr-byP1K8,7zvevr,Consejo Nacional Supervisor de Cooperativas
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,7zvevr-byP1K8-byP1K8,7zvevr-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,7zvevr-byP1K8,7zvevr,Consejo Nacional Supervisor de Cooperativas
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,7zvevr-byP1K8-byP1K8,7zvevr-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5116,ocds-lcuori-5116/3-contract,Dzn3Py-byP1K8,Dzn3Py,Secretaria de Seguridad
ocds-lcuori-5116,ocds-lcuori-5116/3-contract,Dzn3Py-byP1K8-prbvrM,Dzn3Py-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5124,ocds-lcuori-5124/3-contract,7zvM5r-byP1K8,7zvM5r,Instituto Hondure?o de Mercadeo Agricola
ocds-lcuori-5124,ocds-lcuori-5124/3-contract,7zvM5r-byP1K8-NzBWyw,7zvM5r-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5122,ocds-lcuori-5122/3-contract,6Kdoye-byP1K8,6Kdoye,Poder Judicial
ocds-lcuori-5122,ocds-lcuori-5122/3-contract,6Kdoye-byP1K8-byP1K8,6Kdoye-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5126,ocds-lcuori-5126/3-contract,7rEMr2-byP1K8,7rEMr2,Cuerpo de Bomberos de Honduras
ocds-lcuori-5126,ocds-lcuori-5126/3-contract,7rEMr2-byP1K8-byP1K8,7rEMr2-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5127,ocds-lcuori-5127/3-contract,BzX17y-byP1K8,BzX17y,Programa Nacional de Desarrollo Rural y Urbano Sostenible
ocds-lcuori-5127,ocds-lcuori-5127/3-contract,BzX17y-byP1K8-byP1K8,BzX17y-byP1K8,GERENCIA_CENTRAL
ocds-lcuori-5132,ocds-lcuori-5132/3-contract,7rEMr2-byP1K8,7rEMr2,Cuerpo de Bomberos de Honduras
ocds-lcuori-5132,ocds-lcuori-5132/3-contract,7rEMr2-byP1K8-byP1K8,7rEMr2-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5130,ocds-lcuori-5130/3-contract,6Kdoye-byP1K8,6Kdoye,Poder Judicial
ocds-lcuori-5130,ocds-lcuori-5130/3-contract,6Kdoye-byP1K8-byP1K8,6Kdoye-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5135,ocds-lcuori-5135/3-contract,prb3pz-byP1K8,prb3pz,Direccion de la Marina Mercante
ocds-lcuori-5135,ocds-lcuori-5135/3-contract,prb3pz-byP1K8-NzBWyw,prb3pz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5134,ocds-lcuori-5134/3-contract,7rEMr2-byP1K8,7rEMr2,Cuerpo de Bomberos de Honduras
ocds-lcuori-5134,ocds-lcuori-5134/3-contract,7rEMr2-byP1K8-byP1K8,7rEMr2-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5139,ocds-lcuori-5139/3-contract,prb3pz-byP1K8,prb3pz,Direccion de la Marina Mercante
ocds-lcuori-5139,ocds-lcuori-5139/3-contract,prb3pz-byP1K8-NzBWyw,prb3pz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5138,ocds-lcuori-5138/3-contract,prb3pz-byP1K8,prb3pz,Direccion de la Marina Mercante
ocds-lcuori-5138,ocds-lcuori-5138/3-contract,prb3pz-byP1K8-NzBWyw,prb3pz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,xK3GbK-byP1K8,xK3GbK,Suplidora  Nacional de Productos Basicos
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,xK3GbK-byP1K8-byP1K8,xK3GbK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5142,ocds-lcuori-5142/3-contract,xK3GbK-byP1K8,xK3GbK,Suplidora  Nacional de Productos Basicos
ocds-lcuori-5142,ocds-lcuori-5142/3-contract,xK3GbK-byP1K8-byP1K8,xK3GbK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5144,ocds-lcuori-5144/3-contract,xK3GbK-byP1K8,xK3GbK,Suplidora  Nacional de Productos Basicos
ocds-lcuori-5144,ocds-lcuori-5144/3-contract,xK3GbK-byP1K8-byP1K8,xK3GbK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,NzB4vK-byP1K8,NzB4vK,Instituto Hondure?o de la Ni?ez y la Familia
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,NzB4vK-byP1K8-NzBWyw,NzB4vK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5150,ocds-lcuori-5150/3-contract,NzB4vK-byP1K8,NzB4vK,Instituto Hondure?o de la Ni?ez y la Familia
ocds-lcuori-5150,ocds-lcuori-5150/3-contract,NzB4vK-byP1K8-NzBWyw,NzB4vK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,NzB4vK-byP1K8,NzB4vK,Instituto Hondure?o de la Ni?ez y la Familia
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,NzB4vK-byP1K8-NzBWyw,NzB4vK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5152,ocds-lcuori-5152/3-contract,prb3pz-byP1K8,prb3pz,Direccion de la Marina Mercante
ocds-lcuori-5152,ocds-lcuori-5152/3-contract,prb3pz-byP1K8-NzBWyw,prb3pz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5153,ocds-lcuori-5153/3-contract,6Kdoye-byP1K8,6Kdoye,Poder Judicial
ocds-lcuori-5153,ocds-lcuori-5153/3-contract,6Kdoye-byP1K8-byP1K8,6Kdoye-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5156,ocds-lcuori-5156/3-contract,prb3pz-byP1K8,prb3pz,Direccion de la Marina Mercante
ocds-lcuori-5156,ocds-lcuori-5156/3-contract,prb3pz-byP1K8-NzBWyw,prb3pz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5155,ocds-lcuori-5155/3-contract,7rEMr2-byP1K8,7rEMr2,Cuerpo de Bomberos de Honduras
ocds-lcuori-5155,ocds-lcuori-5155/3-contract,7rEMr2-byP1K8-byP1K8,7rEMr2-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5157,ocds-lcuori-5157/3-contract,6Kdoye-byP1K8,6Kdoye,Poder Judicial
ocds-lcuori-5157,ocds-lcuori-5157/3-contract,6Kdoye-byP1K8-byP1K8,6Kdoye-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5160,ocds-lcuori-5160/3-contract,byPVdr-byP1K8,byPVdr,Comision Nacional de Telecomunicaciones
ocds-lcuori-5160,ocds-lcuori-5160/3-contract,byPVdr-byP1K8-byP1K8,byPVdr-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5163,ocds-lcuori-5163/3-contract,RyYx4z-wr13yl,RyYx4z,Empresa Hondure?a de Telecomunicaciones
ocds-lcuori-5163,ocds-lcuori-5163/3-contract,RyYx4z-wr13yl-wr13yl,RyYx4z-wr13yl,GERENCIA DE MATERIALES Y SUMINISTROS
ocds-lcuori-5161,ocds-lcuori-5161/3-contract,RyYx4z-wr13yl,RyYx4z,Empresa Hondure?a de Telecomunicaciones
ocds-lcuori-5161,ocds-lcuori-5161/3-contract,RyYx4z-wr13yl-wr13yl,RyYx4z-wr13yl,GERENCIA DE MATERIALES Y SUMINISTROS
ocds-lcuori-5162,ocds-lcuori-5162/3-contract,RyYx4z-wr13yl,RyYx4z,Empresa Hondure?a de Telecomunicaciones
ocds-lcuori-5162,ocds-lcuori-5162/3-contract,RyYx4z-wr13yl-wr13yl,RyYx4z-wr13yl,GERENCIA DE MATERIALES Y SUMINISTROS
ocds-lcuori-5167,ocds-lcuori-5167/3-contract,byPVdr-byP1K8,byPVdr,Comision Nacional de Telecomunicaciones
ocds-lcuori-5167,ocds-lcuori-5167/3-contract,byPVdr-byP1K8-byP1K8,byPVdr-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5410,ocds-lcuori-5410/3-contract,byPB2r-byP1K8,byPB2r,Empresa Nacional de Energia Electrica
ocds-lcuori-5410,ocds-lcuori-5410/3-contract,byPB2r-byP1K8-byP1K8,byPB2r-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5171,ocds-lcuori-5171/3-contract,prb3pz-byP1K8,prb3pz,Direccion de la Marina Mercante
ocds-lcuori-5171,ocds-lcuori-5171/3-contract,prb3pz-byP1K8-NzBWyw,prb3pz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-5524,ocds-lcuori-5524/3-contract,7zv12r-by4Gzd,7zv12r,Secretaria de Educacion
ocds-lcuori-5524,ocds-lcuori-5524/3-contract,7zv12r-by4Gzd-DznPKL,7zv12r-by4Gzd,GERENCIA DE NEGOCIOS DEPARTAMENTAL  DE COPAN
