ocid,id,language,publisher/name,date,tender/id,tender/localProcurementCategory,tender/procurementMethodDetails,tender/procurementMethod,tag,initiationType,buyer/id,buyer/name
ocds-lcuori-5476,ocds-lcuori-5476/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-02-27T17:11:04-06:00,5476,goodsOrServices,Convenio Marco,open,contract,tender,byPdJy-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA Y FINANCIERA
ocds-lcuori-5480,ocds-lcuori-5480/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-02-27T17:53:14-06:00,5480,goodsOrServices,Convenio Marco,open,contract,tender,byPdJy-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA Y FINANCIERA
ocds-lcuori-5488,ocds-lcuori-5488/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-02-28T11:51:00-06:00,5488,goodsOrServices,Convenio Marco,open,contract,tender,byPB2r-byP1K8-byP1K8,GERENCIA GENERAL
ocds-lcuori-5490,ocds-lcuori-5490/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-02-28T12:04:17-06:00,5490,goodsOrServices,Convenio Marco,open,contract,tender,BzXm8y-byP1K8-byP1K8,OFICINA CENTRAL
ocds-lcuori-5492,ocds-lcuori-5492/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-02-28T14:33:03-06:00,5492,goodsOrServices,Convenio Marco,open,contract,tender,byPB2r-byP1K8-byP1K8,GERENCIA GENERAL
ocds-lcuori-5498,ocds-lcuori-5498/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-02-28T15:28:59-06:00,5498,goodsOrServices,Convenio Marco,open,contract,tender,byPB2r-byP1K8-byP1K8,GERENCIA GENERAL
ocds-lcuori-5501,ocds-lcuori-5501/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-02-28T15:34:26-06:00,5501,goodsOrServices,Convenio Marco,open,contract,tender,byPB2r-byP1K8-byP1K8,GERENCIA GENERAL
ocds-lcuori-5508,ocds-lcuori-5508/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-02-28T18:17:59-06:00,5508,goodsOrServices,Convenio Marco,open,contract,tender,byPdJy-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA Y FINANCIERA
ocds-lcuori-5516,ocds-lcuori-5516/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-03T14:18:16-06:00,5516,goodsOrServices,Convenio Marco,open,contract,tender,Dzn3Py-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA
ocds-lcuori-5518,ocds-lcuori-5518/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-03T14:27:15-06:00,5518,goodsOrServices,Convenio Marco,open,contract,tender,Dzn3Py-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA
ocds-lcuori-5523,ocds-lcuori-5523/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-03T15:55:33-06:00,5523,goodsOrServices,Convenio Marco,open,contract,tender,7zv12r-by4Gzd-DznPKL,DIRECCION DEPARTAMENTAL DE EDUCACION DE COPAN
ocds-lcuori-5525,ocds-lcuori-5525/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-03T16:23:26-06:00,5525,goodsOrServices,Convenio Marco,open,contract,tender,7zv12r-by4Gzd-DznPKL,DIRECCION DEPARTAMENTAL DE EDUCACION DE COPAN
ocds-lcuori-5529,ocds-lcuori-5529/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-03T17:11:05-06:00,5529,goodsOrServices,Convenio Marco,open,contract,tender,7zv12r-by4Gzd-DznPKL,DIRECCION DEPARTAMENTAL DE EDUCACION DE COPAN
ocds-lcuori-5544,ocds-lcuori-5544/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-04T15:24:47-06:00,5544,goodsOrServices,Convenio Marco,open,contract,tender,5y28Zr-byP1K8-byP1K8,DIRECCION Y COORDINACION SUPERIOR
ocds-lcuori-5547,ocds-lcuori-5547/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-04T15:35:36-06:00,5547,goodsOrServices,Convenio Marco,open,contract,tender,nz0ARy-byP1K8-NzBWyw,GERENCIA ADMINISTRATIVA
ocds-lcuori-5552,ocds-lcuori-5552/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-04T18:19:21-06:00,5552,goodsOrServices,Convenio Marco,open,contract,tender,byPB2r-byP1K8-byP1K8,GERENCIA GENERAL
ocds-lcuori-5557,ocds-lcuori-5557/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-05T14:56:50-06:00,5557,goodsOrServices,Convenio Marco,open,contract,tender,7zv12r-VyOdKM-6y6kKW,DIRECCION DEPARTAMENTAL DE EDUCACION DE LEMPIRA
ocds-lcuori-5563,ocds-lcuori-5563/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-06T10:59:06-06:00,5563,goodsOrServices,Convenio Marco,open,contract,tender,gywRvz-byP1K8-byP1K8,SECRETARIO DE ESTADO
ocds-lcuori-5569,ocds-lcuori-5569/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-07T13:14:54-06:00,5569,goodsOrServices,Convenio Marco,open,contract,tender,NzBkRy-byP1K8-byP1K8,VICE RECTORIA ADMINISTRATIVA
ocds-lcuori-5572,ocds-lcuori-5572/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-07T15:06:31-06:00,5572,goodsOrServices,Convenio Marco,open,contract,tender,NzBkRy-byP1K8-byP1K8,VICE RECTORIA ADMINISTRATIVA
ocds-lcuori-5576,ocds-lcuori-5576/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-10T10:39:21-06:00,5576,goodsOrServices,Convenio Marco,open,contract,tender,NzBkRy-byP1K8-byP1K8,VICE RECTORIA ADMINISTRATIVA
ocds-lcuori-5578,ocds-lcuori-5578/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-10T10:49:33-06:00,5578,goodsOrServices,Convenio Marco,open,contract,tender,BzXX7z-byP1K8-byP1K8,SECRETARIA DE ESTADO
ocds-lcuori-5583,ocds-lcuori-5583/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-10T11:31:22-06:00,5583,goodsOrServices,Convenio Marco,open,contract,tender,byQwDr-byP1K8-lzWOzp,GERENCIA ADMINISTRATIVA
ocds-lcuori-5594,ocds-lcuori-5594/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-11T10:58:49-06:00,5594,goodsOrServices,Convenio Marco,open,contract,tender,6Kdoye-byP1K8-byP1K8,CORTE SUPREMA DE JUSTICIA
ocds-lcuori-5596,ocds-lcuori-5596/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-11T14:49:17-06:00,5596,goodsOrServices,Convenio Marco,open,contract,tender,BzXX7z-byP1K8-xK3qzP,CONTADURIA GENERAL DE LA REPUBLICA
ocds-lcuori-5602,ocds-lcuori-5602/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-11T17:09:53-06:00,5602,goodsOrServices,Convenio Marco,open,contract,tender,7zv12r-OzGAKn-gywern,DIRECCION DEPARTAMENTAL DE EDUCACION DE FRANCISCO MORAZAN
ocds-lcuori-5607,ocds-lcuori-5607/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-11T17:51:04-06:00,5607,goodsOrServices,Convenio Marco,open,contract,tender,7zv12r-ArxkKR-RKZayY,DIRECCION DEPARTAMENTAL DE EDUCACION DE INTIBUCA
ocds-lcuori-5609,ocds-lcuori-5609/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-11T17:54:57-06:00,5609,goodsOrServices,Convenio Marco,open,contract,tender,7zv12r-by4Gzd-DznPKL,DIRECCION DEPARTAMENTAL DE EDUCACION DE COPAN
ocds-lcuori-5611,ocds-lcuori-5611/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-11T18:12:21-06:00,5611,goodsOrServices,Convenio Marco,open,contract,tender,7zv12r-ArxkKR-RKZayY,DIRECCION DEPARTAMENTAL DE EDUCACION DE INTIBUCA
ocds-lcuori-5612,ocds-lcuori-5612/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-03-11T18:17:28-06:00,5612,goodsOrServices,Convenio Marco,open,contract,tender,7zv12r-ArxkKR-RKZayY,DIRECCION DEPARTAMENTAL DE EDUCACION DE INTIBUCA
