ocid,id,parties/0/id,parties/0/memberOf/0/id,parties/0/memberOf/0/name
ocds-lcuori-221941,ocds-lcuori-221941/2-contract,K3X17r-byP1K8,K3X17r,Administracion Aduanera de Honduras
ocds-lcuori-221941,ocds-lcuori-221941/2-contract,K3X17r-byP1K8-byP1K8,K3X17r-byP1K8,Gerencia Central
ocds-lcuori-215405,ocds-lcuori-215405/2-contract,lzlBXK-az8Qyd,lzlBXK,Secretaria de Salud
ocds-lcuori-215405,ocds-lcuori-215405/2-contract,lzlBXK-az8Qyd-ArxkKR,lzlBXK-az8Qyd,GERENCIA ADMINISTRATIVA HOSPITAL DE ATLANTIDA
ocds-lcuori-221946,ocds-lcuori-221946/2-contract,NzBo0y-byP1K8,NzBo0y,Banco Central de Honduras
ocds-lcuori-221946,ocds-lcuori-221946/2-contract,NzBo0y-byP1K8-by4Gzd,NzBo0y-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215406,ocds-lcuori-215406/2-contract,7zvqGr-byP1K8,7zvqGr,Comision Nacional de Bancos y Seguros
ocds-lcuori-215406,ocds-lcuori-215406/2-contract,7zvqGr-byP1K8-NzBWyw,7zvqGr-byP1K8,GERENCIA CENTRAL
ocds-lcuori-221947,ocds-lcuori-221947/2-contract,BzXm8y-byP1K8,BzXm8y,Instituto Nacional Agrario
ocds-lcuori-221947,ocds-lcuori-221947/2-contract,BzXm8y-byP1K8-byP1K8,BzXm8y-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215407,ocds-lcuori-215407/2-contract,rNxg0y-byP1K8,rNxg0y,"Secretaria de Gobernacion, Justicia y Descentralizacion"
ocds-lcuori-215407,ocds-lcuori-215407/2-contract,rNxg0y-byP1K8-byP1K8,rNxg0y-byP1K8,Gerencia Central
ocds-lcuori-221948,ocds-lcuori-221948/2-contract,NzBkRy-byP1K8,NzBkRy,Universidad Pedagogica Nacional Francisco Morazan
ocds-lcuori-221948,ocds-lcuori-221948/2-contract,NzBkRy-byP1K8-byP1K8,NzBkRy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215408,ocds-lcuori-215408/2-contract,by4dly-byP1K8,by4dly,Servicio Autonomo Nacional de Acueductos y Alcantarillados
ocds-lcuori-215408,ocds-lcuori-215408/2-contract,by4dly-byP1K8-QrN6r0,by4dly-byP1K8,GERENCIA CENTRAL
ocds-lcuori-221957,ocds-lcuori-221957/2-contract,NzBkRy-byP1K8,NzBkRy,Universidad Pedagogica Nacional Francisco Morazan
ocds-lcuori-221957,ocds-lcuori-221957/2-contract,NzBkRy-byP1K8-byP1K8,NzBkRy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215409,ocds-lcuori-215409/2-contract,rq1aJr-byP1K8,rq1aJr,"Comision Interinstitucional Contra la Explotacion Sexual, Comercial y Trata de Personas de Honduras"
ocds-lcuori-215409,ocds-lcuori-215409/2-contract,rq1aJr-byP1K8-byP1K8,rq1aJr-byP1K8,CICESCT
ocds-lcuori-221968,ocds-lcuori-221968/2-contract,NzBo0y-byP1K8,NzBo0y,Banco Central de Honduras
ocds-lcuori-221968,ocds-lcuori-221968/2-contract,NzBo0y-byP1K8-by4Gzd,NzBo0y-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215413,ocds-lcuori-215413/2-contract,NzBkRy-byP1K8,NzBkRy,Universidad Pedagogica Nacional Francisco Morazan
ocds-lcuori-215413,ocds-lcuori-215413/2-contract,NzBkRy-byP1K8-byP1K8,NzBkRy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215414,ocds-lcuori-215414/2-contract,NzBkRy-byP1K8,NzBkRy,Universidad Pedagogica Nacional Francisco Morazan
ocds-lcuori-215414,ocds-lcuori-215414/2-contract,NzBkRy-byP1K8-byP1K8,NzBkRy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-221980,ocds-lcuori-221980/2-contract,gywern-byP1K8,gywern,Secretaria de la Presidencia
ocds-lcuori-221980,ocds-lcuori-221980/2-contract,gywern-byP1K8-xzkmQK,gywern-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215416,ocds-lcuori-215416/2-contract,by4dly-byP1K8,by4dly,Servicio Autonomo Nacional de Acueductos y Alcantarillados
ocds-lcuori-215416,ocds-lcuori-215416/2-contract,by4dly-byP1K8-QrN6r0,by4dly-byP1K8,GERENCIA CENTRAL
ocds-lcuori-221981,ocds-lcuori-221981/2-contract,nz0ARy-byP1K8,nz0ARy,Secretaria de Relaciones Exteriores y Cooperacion Internac.
ocds-lcuori-221981,ocds-lcuori-221981/2-contract,nz0ARy-byP1K8-NzBWyw,nz0ARy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215417,ocds-lcuori-215417/2-contract,NzBkRy-byP1K8,NzBkRy,Universidad Pedagogica Nacional Francisco Morazan
ocds-lcuori-215417,ocds-lcuori-215417/2-contract,NzBkRy-byP1K8-byP1K8,NzBkRy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215418,ocds-lcuori-215418/2-contract,wrL8Jr-byP1K8,wrL8Jr,Instituto Nacional de Formacion Profesional
ocds-lcuori-215418,ocds-lcuori-215418/2-contract,wrL8Jr-byP1K8-nz0RKj,wrL8Jr-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215419,ocds-lcuori-215419/2-contract,BzXX7z-byP1K8,BzXX7z,Secretaria de Finanzas
ocds-lcuori-215419,ocds-lcuori-215419/2-contract,BzXX7z-byP1K8-ArxkKR,BzXX7z-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222001,ocds-lcuori-222001/2-contract,7zv12r-xK3qzP,7zv12r,Secretaria de Educacion
ocds-lcuori-222001,ocds-lcuori-222001/2-contract,7zv12r-xK3qzP-PKJ7rO,7zv12r-xK3qzP,GERENCIA DE NEGOCIOS DEPARTAMENTAL  DE CHOLUTECA
ocds-lcuori-215423,ocds-lcuori-215423/2-contract,wrL8Jr-byP1K8,wrL8Jr,Instituto Nacional de Formacion Profesional
ocds-lcuori-215423,ocds-lcuori-215423/2-contract,wrL8Jr-byP1K8-nz0RKj,wrL8Jr-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222002,ocds-lcuori-222002/2-contract,7zv12r-xK3qzP,7zv12r,Secretaria de Educacion
ocds-lcuori-222002,ocds-lcuori-222002/2-contract,7zv12r-xK3qzP-PKJ7rO,7zv12r-xK3qzP,GERENCIA DE NEGOCIOS DEPARTAMENTAL  DE CHOLUTECA
ocds-lcuori-215424,ocds-lcuori-215424/3-contract,byQwDr-xK3qzP,byQwDr,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-215424,ocds-lcuori-215424/3-contract,byQwDr-xK3qzP-ero6KM,byQwDr-xK3qzP,GERENCIA DE LA CNSSP
ocds-lcuori-222012,ocds-lcuori-222012/2-contract,wrLQmz-byP1K8,wrLQmz,Universidad Nacional de Agricultura
