ocid,id,awards/0/id
ocds-lcuori-DL9kwR-CC-7703-TSC-2025-1,ocds-lcuori-DL9kwR-CC-7703-TSC-2025-1/3,DL9kwR-CC-7703-TSC-2025-1
ocds-lcuori-8L4YaG-CM-0178-INA-2018-1,ocds-lcuori-8L4YaG-CM-0178-INA-2018-1/3,8L4YaG-CM-0178-INA-2018-1
ocds-lcuori-DL9kwR-CC-7706-TSC-2028-1,ocds-lcuori-DL9kwR-CC-7706-TSC-2028-1/3,DL9kwR-CC-7706-TSC-2028-1
ocds-lcuori-lRoy5L-CM-0097-CONSUCOOP-JULIO-2018-1,ocds-lcuori-lRoy5L-CM-0097-CONSUCOOP-JULIO-2018-1/3,lRoy5L-CM-0097-CONSUCOOP-JULIO-2018-1
ocds-lcuori-DRWQ0L-honducor-Dc-225-2018-1,ocds-lcuori-DRWQ0L-honducor-Dc-225-2018-1/3,DRWQ0L-honducor-Dc-225-2018-1
ocds-lcuori-PLeQ0L-CM-MEP-1023-18-1,ocds-lcuori-PLeQ0L-CM-MEP-1023-18-1/4,PLeQ0L-CM-MEP-1023-18-1
ocds-lcuori-PLeQ0L-RRPP-47-18-1,ocds-lcuori-PLeQ0L-RRPP-47-18-1/4,PLeQ0L-RRPP-47-18-1
ocds-lcuori-7G36NL-CM-131-UNA-2018-1,ocds-lcuori-7G36NL-CM-131-UNA-2018-1/4,7G36NL-CM-131-UNA-2018-1
ocds-lcuori-0rwm9G-C-2018196-1,ocds-lcuori-0rwm9G-C-2018196-1/4,0rwm9G-C-2018196-1
ocds-lcuori-Zr56vL-M-000159-2018-1,ocds-lcuori-Zr56vL-M-000159-2018-1/3,Zr56vL-M-000159-2018-1
ocds-lcuori-PLeQ0L-CM-MEP-1050-18-1,ocds-lcuori-PLeQ0L-CM-MEP-1050-18-1/4,PLeQ0L-CM-MEP-1050-18-1
ocds-lcuori-0rwm9G-C-2018199-1,ocds-lcuori-0rwm9G-C-2018199-1/4,0rwm9G-C-2018199-1
ocds-lcuori-0rwm9G-C-2018201-1,ocds-lcuori-0rwm9G-C-2018201-1/4,0rwm9G-C-2018201-1
ocds-lcuori-0rwm9G-C-2018202-1,ocds-lcuori-0rwm9G-C-2018202-1/3,0rwm9G-C-2018202-1
ocds-lcuori-grxKER-DGMM-CM-0194-2018-1,ocds-lcuori-grxKER-DGMM-CM-0194-2018-1/3,grxKER-DGMM-CM-0194-2018-1
ocds-lcuori-PLeQ0L-CM-MEP-1057-18-1,ocds-lcuori-PLeQ0L-CM-MEP-1057-18-1/4,PLeQ0L-CM-MEP-1057-18-1
ocds-lcuori-grxKER-DGMM-CM-0197-2018-1,ocds-lcuori-grxKER-DGMM-CM-0197-2018-1/4,grxKER-DGMM-CM-0197-2018-1
ocds-lcuori-DL9kwR-CC-7707-TSC-2018-1,ocds-lcuori-DL9kwR-CC-7707-TSC-2018-1/3,DL9kwR-CC-7707-TSC-2018-1
ocds-lcuori-DL9kwR-CC-7708-TSC-2018-1,ocds-lcuori-DL9kwR-CC-7708-TSC-2018-1/3,DL9kwR-CC-7708-TSC-2018-1
ocds-lcuori-DL9kwR-CC-7709-TSC-2018-1,ocds-lcuori-DL9kwR-CC-7709-TSC-2018-1/3,DL9kwR-CC-7709-TSC-2018-1
ocds-lcuori-DL9kwR-CC-7737-TSC-2018-1,ocds-lcuori-DL9kwR-CC-7737-TSC-2018-1/3,DL9kwR-CC-7737-TSC-2018-1
ocds-lcuori-2Lm85r-043-2018-SENASA-1,ocds-lcuori-2Lm85r-043-2018-SENASA-1/3,2Lm85r-043-2018-SENASA-1
ocds-lcuori-7G36NL-CM-141-UNA-2018-1,ocds-lcuori-7G36NL-CM-141-UNA-2018-1/3,7G36NL-CM-141-UNA-2018-1
ocds-lcuori-7G36NL-CM-143-UNA-2018-1,ocds-lcuori-7G36NL-CM-143-UNA-2018-1/3,7G36NL-CM-143-UNA-2018-1
ocds-lcuori-PLeQ0L-CM-MEP-1085-18-1,ocds-lcuori-PLeQ0L-CM-MEP-1085-18-1/4,PLeQ0L-CM-MEP-1085-18-1
ocds-lcuori-DRWQ0L-Honducor-Dc-229-2018-1,ocds-lcuori-DRWQ0L-Honducor-Dc-229-2018-1/3,DRWQ0L-Honducor-Dc-229-2018-1
ocds-lcuori-DRWQ0L-Honducor-Dc-230-2018-1,ocds-lcuori-DRWQ0L-Honducor-Dc-230-2018-1/3,DRWQ0L-Honducor-Dc-230-2018-1
ocds-lcuori-PLeQ0L-CM-MEP-1090-18 -1,ocds-lcuori-PLeQ0L-CM-MEP-1090-18 -1/4,PLeQ0L-CM-MEP-1090-18 -1
