ocid,id,planning/budget/id,planning/budget/budgetBreakdown/0/id,planning/budget/budgetBreakdown/0/description,planning/budget/budgetBreakdown/0/sourceParty/id,planning/budget/budgetBreakdown/0/sourceParty/name
ocds-lcuori-vGZWNR-LP-011-2018-2,ocds-lcuori-vGZWNR-LP-011-2018-2/4,vGZWNR-LP-011-2018-2,1-FgLkyRb,Recursos Nacionales,FgLkyRb,Hispano-Hondureño
ocds-lcuori-wrVn3r-CC05-HSI-2018-2,ocds-lcuori-wrVn3r-CC05-HSI-2018-2/3,wrVn3r-CC05-HSI-2018-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-lRojQG-LP-15-18-2,ocds-lcuori-lRojQG-LP-15-18-2/3,lRojQG-LP-15-18-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-KLg9wR-CPN-001-2018-2,ocds-lcuori-KLg9wR-CPN-001-2018-2/3,KLg9wR-CPN-001-2018-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-gLkPAG-LPN-001-MUNILUCERNA-2018-2,ocds-lcuori-gLkPAG-LPN-001-MUNILUCERNA-2018-2/3,gLkPAG-LPN-001-MUNILUCERNA-2018-2,1.0-FMrMgGe,Recursos Nacionales,FMrMgGe,Fondo Comun
ocds-lcuori-wrVn3r-LP03-HSI-2018-2,ocds-lcuori-wrVn3r-LP03-HSI-2018-2/3,wrVn3r-LP03-HSI-2018-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-wrVn3r-LP06-HSI-2018-2,ocds-lcuori-wrVn3r-LP06-HSI-2018-2/3,wrVn3r-LP06-HSI-2018-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-wrVn3r-LP07-HSI-2018-2,ocds-lcuori-wrVn3r-LP07-HSI-2018-2/3,wrVn3r-LP07-HSI-2018-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-Zr5B9L-C-100-2018-PE-0089-2018-1,ocds-lcuori-Zr5B9L-C-100-2018-PE-0089-2018-1/3,Zr5B9L-C-100-2018-PE-0089-2018-1,1-FMrMgGe,Recursos Nacionales,FMrMgGe,Fondo Comun
ocds-lcuori-XRbOkr-CS-CSJ-2018-0278-1,ocds-lcuori-XRbOkr-CS-CSJ-2018-0278-1/4,XRbOkr-CS-CSJ-2018-0278-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
