ocid,id,contracts/0/id,contracts/0/guarantees/0/id,contracts/0/guarantees/0/guaranteeType,contracts/0/guarantees/0/guarantor/id,contracts/0/guarantees/0/guarantor/name
ocds-lcuori-XRb6JR-REQ-2303-2018-1,ocds-lcuori-XRb6JR-REQ-2303-2018-1/3,XRb6JR-REQ-2303-2018,XRb6JR-REQ-2303-2018,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-ERpO1G-LPR-004-GIP-UDAIS-2018-2,ocds-lcuori-ERpO1G-LPR-004-GIP-UDAIS-2018-2/3,ERpO1G-LPR-004-GIP-UDAIS-2018,ERpO1G-LPR-004-GIP-UDAIS-2018,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-XRb6JR-REQ-2213-2018-1,ocds-lcuori-XRb6JR-REQ-2213-2018-1/3,XRb6JR-REQ-2213-2018,XRb6JR-REQ-2213-2018,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-grxXEr-L.P. 013-2018-2,ocds-lcuori-grxXEr-L.P. 013-2018-2/3,grxXEr-3150,grxXEr-3150,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-orvkNL-LPN No.11-2018-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.11-2018-SEAF-UNAH-2/3,orvkNL-06-2018-SEAF-UNAH,orvkNL-06-2018-SEAF-UNAH,suretyBond,GXRbOrV,Banco de Occidente S.A.
ocds-lcuori-XRb6JR-REQ-2272-2018-1,ocds-lcuori-XRb6JR-REQ-2272-2018-1/4,XRb6JR-REQ-2272-2018,XRb6JR-REQ-2272-2018,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-XRb6JR-REQ-2301-2018-1,ocds-lcuori-XRb6JR-REQ-2301-2018-1/3,XRb6JR-REQ-2301-2018,XRb6JR-REQ-2301-2018,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-XRb6JR-REQ-2304-2018-1,ocds-lcuori-XRb6JR-REQ-2304-2018-1/3,XRb6JR-REQ-2304-2018,XRb6JR-REQ-2304-2018,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-JLKQxR-LP. 010-2018-2,ocds-lcuori-JLKQxR-LP. 010-2018-2/3,JLKQxR-3719,JLKQxR-3719,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-grxELe-LP-001-2017-2,ocds-lcuori-grxELe-LP-001-2017-2/3,grxELe-001-2017,grxELe-001-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-grxELe-CD-074-2017-2,ocds-lcuori-grxELe-CD-074-2017-2/3,grxELe-074-2017,grxELe-074-2017,suretyBond,GkG1DLQ,Seguros del País S.A.
ocds-lcuori-XRb6JR-REQ-2428-2018-1,ocds-lcuori-XRb6JR-REQ-2428-2018-1/4,XRb6JR-REQ-2428-2018,XRb6JR-REQ-2428-2018,suretyBond,GwrV3LP,Seguros Crefisa S.A.
