ocid,id,planning/budget/id,planning/budget/budgetBreakdown/0/id,planning/budget/budgetBreakdown/0/description,planning/budget/budgetBreakdown/0/sourceParty/id,planning/budget/budgetBreakdown/0/sourceParty/name
ocds-lcuori-mGEqMG-COT-MJFB-01-2020-2,ocds-lcuori-mGEqMG-COT-MJFB-01-2020-2/1,mGEqMG-COT-MJFB-01-2020-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2/4,Er6jdr-PGRD-01-LPN-B-2020-2,3.0-F1RalG6,Prestamo,F1RalG6,Banco Mundial
ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-14-2020-2,ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-14-2020-2/1,2LmqDL-LPuNBS-05-AMDC-14-2020-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LmqDL-LPuNO-01-AMDC-16-2020-2,ocds-lcuori-2LmqDL-LPuNO-01-AMDC-16-2020-2/2,2LmqDL-LPuNO-01-AMDC-16-2020-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-kR0qDr-LPN-007-2019-2,ocds-lcuori-kR0qDr-LPN-007-2019-2/1,kR0qDr-LPN-007-2019-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-gRN9jG-LPN SS FAHSL 003 2020-2,ocds-lcuori-gRN9jG-LPN SS FAHSL 003 2020-2/1,gRN9jG-LPN SS FAHSL 003 2020-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-MLQnAG-LP-Nº006-HGS-2020-2,ocds-lcuori-MLQnAG-LP-Nº006-HGS-2020-2/1,MLQnAG-LP-Nº006-HGS-2020-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-orvkNL-LPN No.11-2020-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.11-2020-SEAF-UNAH-2/2,orvkNL-LPN No.11-2020-SEAF-UNAH-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-Er6jdr-PGRD-02-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-02-LPN-B-2020-2/3,Er6jdr-PGRD-02-LPN-B-2020-2,3.0-F1RalG6,Prestamo,F1RalG6,Banco Mundial
ocds-lcuori-Er6jdr-PGRD-03-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-03-LPN-B-2020-2/3,Er6jdr-PGRD-03-LPN-B-2020-2,3.0-F1RalG6,Prestamo,F1RalG6,Banco Mundial
ocds-lcuori-Er6jdr-PGRD-05-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-05-LPN-B-2020-2/3,Er6jdr-PGRD-05-LPN-B-2020-2,3.0-F1RalG6,Prestamo,F1RalG6,Banco Mundial
ocds-lcuori-oLjYzr-CM-056-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-056-MSFYC-2020-1/2,oLjYzr-CM-056-MSFYC-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2,ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2/1,PR8Q5r-02-LP-IHT-2020-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LmqDL-CPuNO-08-AMDC-15-2020-2,ocds-lcuori-2LmqDL-CPuNO-08-AMDC-15-2020-2/1,2LmqDL-CPuNO-08-AMDC-15-2020-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-PLe6mG-HSR-LP-023-2020-2,ocds-lcuori-PLe6mG-HSR-LP-023-2020-2/1,PLe6mG-HSR-LP-023-2020-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-JL7OdL-LP 008-2020 FHLMV-2,ocds-lcuori-JL7OdL-LP 008-2020 FHLMV-2/3,JL7OdL-LP 008-2020 FHLMV-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2Lmz0G-LPN-001-2020-2,ocds-lcuori-2Lmz0G-LPN-001-2020-2/2,2Lmz0G-LPN-001-2020-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2Lmz0G-LPN-002-2020-2,ocds-lcuori-2Lmz0G-LPN-002-2020-2/2,2Lmz0G-LPN-002-2020-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-JL7OdL-LP 010-2020 FHLMV-2,ocds-lcuori-JL7OdL-LP 010-2020 FHLMV-2/3,JL7OdL-LP 010-2020 FHLMV-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkVG-LP-05-2020-2,ocds-lcuori-jRDkVG-LP-05-2020-2/2,jRDkVG-LP-05-2020-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-JL7OdL-LP 018-2020 FHLMV-2,ocds-lcuori-JL7OdL-LP 018-2020 FHLMV-2/3,JL7OdL-LP 018-2020 FHLMV-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-yRlaDr-LP-001-2020-RSDCH-2,ocds-lcuori-yRlaDr-LP-001-2020-RSDCH-2/2,yRlaDr-LP-001-2020-RSDCH-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-yRlaDr-LP-002-2020-RDSCH-2,ocds-lcuori-yRlaDr-LP-002-2020-RDSCH-2/2,yRlaDr-LP-002-2020-RDSCH-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-mGE4eL-CPN-SEDECOAS-FHIS-09-2020-2,ocds-lcuori-mGE4eL-CPN-SEDECOAS-FHIS-09-2020-2/1,mGE4eL-CPN-SEDECOAS-FHIS-09-2020-2,2.0-FlRo2G5,Donación,FlRo2G5,Entidad
ocds-lcuori-vGZ5wL-001-PPBH2020-ICE-2020-2,ocds-lcuori-vGZ5wL-001-PPBH2020-ICE-2020-2/3,vGZ5wL-001-PPBH2020-ICE-2020-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-JLKnxr-LPN-01/2019-2,ocds-lcuori-JLKnxr-LPN-01/2019-2/2,JLKnxr-LPN-01/2019-2,2.0-FoLj6LM,Donación,FoLj6LM,Suiza
ocds-lcuori-PR8Q5r-06-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-06-CM-IHT-2020-1/4,PR8Q5r-06-CM-IHT-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-1RaEMR-CM-HJMG-003-2020-1,ocds-lcuori-1RaEMR-CM-HJMG-003-2020-1/5,1RaEMR-CM-HJMG-003-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-0rww4r-CM-HBCBHSC-003-2020-1,ocds-lcuori-0rww4r-CM-HBCBHSC-003-2020-1/4,0rww4r-CM-HBCBHSC-003-2020-1,1-FMrMgGe,Recursos Nacionales,FMrMgGe,Fondo Comun
ocds-lcuori-0rww4r-CM-HBCBHSC-005-2020-1,ocds-lcuori-0rww4r-CM-HBCBHSC-005-2020-1/4,0rww4r-CM-HBCBHSC-005-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2Lmz0G-CM-001-BNP-2020-1,ocds-lcuori-2Lmz0G-CM-001-BNP-2020-1/4,2Lmz0G-CM-001-BNP-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-PR8Q5r-18-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-18-CM-IHT-2020-1/4,PR8Q5r-18-CM-IHT-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-MrMMAr-CM-99 BOMBEROS OCOTEPEQUE 2020-1,ocds-lcuori-MrMMAr-CM-99 BOMBEROS OCOTEPEQUE 2020-1/5,MrMMAr-CM-99 BOMBEROS OCOTEPEQUE 2020-1,1-FgRNyG6,Recursos Nacionales,FgRNyG6,Fondo Común 
ocds-lcuori-JL7JBr-CM-09-HBCBHR-2020-1,ocds-lcuori-JL7JBr-CM-09-HBCBHR-2020-1/4,JL7JBr-CM-09-HBCBHR-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-gLkw4L-CM-667-CBD-2020-1,ocds-lcuori-gLkw4L-CM-667-CBD-2020-1/3,gLkw4L-CM-667-CBD-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-gLkw4L-CM-668-CBD-2020-1,ocds-lcuori-gLkw4L-CM-668-CBD-2020-1/3,gLkw4L-CM-668-CBD-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-lRoxQr-PERLA-6-SBMC-CF- -2,ocds-lcuori-lRoxQr-PERLA-6-SBMC-CF- -2/3,lRoxQr-PERLA-6-SBMC-CF- -2,3.0-FMLQALQ,Prestamo,FMLQALQ,BID
ocds-lcuori-Er6QoR-CM-001-LV-2020-1,ocds-lcuori-Er6QoR-CM-001-LV-2020-1/3,Er6QoR-CM-001-LV-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-PR8Q5r-20-1-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-20-1-CM-IHT-2020-1/4,PR8Q5r-20-1-CM-IHT-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-PR8Q5r-22-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-22-CM-IHT-2020-1/3,PR8Q5r-22-CM-IHT-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-Zr5B9L-LPN 008-2019-SS-2,ocds-lcuori-Zr5B9L-LPN 008-2019-SS-2/4,Zr5B9L-LPN 008-2019-SS-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-wrVggL-CM-004-CHOLU-2020-1,ocds-lcuori-wrVggL-CM-004-CHOLU-2020-1/4,wrVggL-CM-004-CHOLU-2020-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
