ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/type,tender/participationFees/0/value/amount
ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-14-2020-2,ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-14-2020-2/1,2LmqDL-LPuNBS-05-AMDC-14-2020-2,2LmqDL-LPuNBS-05-AMDC-14-2020-2,document,500.0
ocds-lcuori-2LmqDL-LPuNO-01-AMDC-16-2020-2,ocds-lcuori-2LmqDL-LPuNO-01-AMDC-16-2020-2/2,2LmqDL-LPuNO-01-AMDC-16-2020-2,2LmqDL-LPuNO-01-AMDC-16-2020-2,document,500.0
ocds-lcuori-kR0qDr-LPN-007-2019-2,ocds-lcuori-kR0qDr-LPN-007-2019-2/1,kR0qDr-LPN-007-2019-2,kR0qDr-LPN-007-2019-2,document,500.0
ocds-lcuori-gRN9jG-LPN SS FAHSL 003 2020-2,ocds-lcuori-gRN9jG-LPN SS FAHSL 003 2020-2/1,gRN9jG-LPN SS FAHSL 003 2020-2,gRN9jG-LPN SS FAHSL 003 2020-2,document,300.0
ocds-lcuori-orvkNL-LPN No.11-2020-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.11-2020-SEAF-UNAH-2/2,orvkNL-LPN No.11-2020-SEAF-UNAH-2,orvkNL-LPN No.11-2020-SEAF-UNAH-2,document,500.0
ocds-lcuori-2Lmz0G-LPN-001-2020-2,ocds-lcuori-2Lmz0G-LPN-001-2020-2/2,2Lmz0G-LPN-001-2020-2,2Lmz0G-LPN-001-2020-2,document,500.0
ocds-lcuori-2Lmz0G-LPN-002-2020-2,ocds-lcuori-2Lmz0G-LPN-002-2020-2/2,2Lmz0G-LPN-002-2020-2,2Lmz0G-LPN-002-2020-2,document,500.0
ocds-lcuori-vGZ5wL-001-PPBH2020-ICE-2020-2,ocds-lcuori-vGZ5wL-001-PPBH2020-ICE-2020-2/3,vGZ5wL-001-PPBH2020-ICE-2020-2,vGZ5wL-001-PPBH2020-ICE-2020-2,document,500.0
ocds-lcuori-JLKnxr-LPN-01/2019-2,ocds-lcuori-JLKnxr-LPN-01/2019-2/2,JLKnxr-LPN-01/2019-2,JLKnxr-LPN-01/2019-2,document,1000.0
ocds-lcuori-Zr5B9L-LPN 008-2019-SS-2,ocds-lcuori-Zr5B9L-LPN 008-2019-SS-2/4,Zr5B9L-LPN 008-2019-SS-2,Zr5B9L-LPN 008-2019-SS-2,document,500.0
ocds-lcuori-MLQPmr-LPN-PGR-001-2020-2,ocds-lcuori-MLQPmr-LPN-PGR-001-2020-2/3,MLQPmr-LPN-PGR-001-2020-2,MLQPmr-LPN-PGR-001-2020-2,document,500.0
ocds-lcuori-2LmqDL-LPuNBS-04-AMDC-11-2020-2,ocds-lcuori-2LmqDL-LPuNBS-04-AMDC-11-2020-2/2,2LmqDL-LPuNBS-04-AMDC-11-2020-2,2LmqDL-LPuNBS-04-AMDC-11-2020-2,document,500.0
ocds-lcuori-0rwyzG-MSPS-GI-04-2020-2,ocds-lcuori-0rwyzG-MSPS-GI-04-2020-2/3,0rwyzG-MSPS-GI-04-2020-2,0rwyzG-MSPS-GI-04-2020-2,document,2500.0
ocds-lcuori-gRN9jG-LPN 002 2020-2,ocds-lcuori-gRN9jG-LPN 002 2020-2/2,gRN9jG-LPN 002 2020-2,gRN9jG-LPN 002 2020-2,document,300.0
ocds-lcuori-oLj5br-LPN-2020-001-2,ocds-lcuori-oLj5br-LPN-2020-001-2/1,oLj5br-LPN-2020-001-2,oLj5br-LPN-2020-001-2,document,50.0
ocds-lcuori-orveZR-LP-RDC-02-2020-2,ocds-lcuori-orveZR-LP-RDC-02-2020-2/1,orveZR-LP-RDC-02-2020-2,orveZR-LP-RDC-02-2020-2,document,600000.0
ocds-lcuori-vGZWNR-LPN-002-2020-2,ocds-lcuori-vGZWNR-LPN-002-2020-2/1,vGZWNR-LPN-002-2020-2,vGZWNR-LPN-002-2020-2,document,300.0
ocds-lcuori-orvkNL-LPN No.31-2019-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.31-2019-SEAF-UNAH-2/2,orvkNL-LPN No.31-2019-SEAF-UNAH-2,orvkNL-LPN No.31-2019-SEAF-UNAH-2,document,500.0
ocds-lcuori-7rBxpG-LPública No.08-2020-2,ocds-lcuori-7rBxpG-LPública No.08-2020-2/3,7rBxpG-LPública No.08-2020-2,7rBxpG-LPública No.08-2020-2,document,200.0
ocds-lcuori-MLQ18L-HBCBH-01-2020-2,ocds-lcuori-MLQ18L-HBCBH-01-2020-2/1,MLQ18L-HBCBH-01-2020-2,MLQ18L-HBCBH-01-2020-2,document,200.0
ocds-lcuori-4LOpdG-LPN-NO.008-2020-RNP-2,ocds-lcuori-4LOpdG-LPN-NO.008-2020-RNP-2/1,4LOpdG-LPN-NO.008-2020-RNP-2,4LOpdG-LPN-NO.008-2020-RNP-2,document,200.0
ocds-lcuori-4LOpdG-LPN-NO.009-2020-RNP-2,ocds-lcuori-4LOpdG-LPN-NO.009-2020-RNP-2/1,4LOpdG-LPN-NO.009-2020-RNP-2,4LOpdG-LPN-NO.009-2020-RNP-2,document,200.0
ocds-lcuori-ERpngL-001-2020-2,ocds-lcuori-ERpngL-001-2020-2/3,ERpngL-001-2020-2,ERpngL-001-2020-2,document,350502.33
ocds-lcuori-ERpngL-LP-002-2020-2,ocds-lcuori-ERpngL-LP-002-2020-2/3,ERpngL-LP-002-2020-2,ERpngL-LP-002-2020-2,document,609996.5
ocds-lcuori-Zr5B9L-LPN No.010-2019-ss-2,ocds-lcuori-Zr5B9L-LPN No.010-2019-ss-2/5,Zr5B9L-LPN No.010-2019-ss-2,Zr5B9L-LPN No.010-2019-ss-2,document,500.0
ocds-lcuori-vGZ5wL-002-PPBH2020-ICE-2020-2,ocds-lcuori-vGZ5wL-002-PPBH2020-ICE-2020-2/3,vGZ5wL-002-PPBH2020-ICE-2020-2,vGZ5wL-002-PPBH2020-ICE-2020-2,document,500.0
ocds-lcuori-kR0qDr-LPN-07-2019-2,ocds-lcuori-kR0qDr-LPN-07-2019-2/2,kR0qDr-LPN-07-2019-2,kR0qDr-LPN-07-2019-2,document,500.0
ocds-lcuori-2LmqDL-LPuNO-02-AMDC-18-2020-2,ocds-lcuori-2LmqDL-LPuNO-02-AMDC-18-2020-2/1,2LmqDL-LPuNO-02-AMDC-18-2020-2,2LmqDL-LPuNO-02-AMDC-18-2020-2,document,500.0
ocds-lcuori-2Lm5KL-Calle Mammey lane-2,ocds-lcuori-2Lm5KL-Calle Mammey lane-2/1,2Lm5KL-Calle Mammey lane-2,2Lm5KL-Calle Mammey lane-2,document,200.0
ocds-lcuori-2LmqDL-CPuNO-09-AMDC-17-2020-2,ocds-lcuori-2LmqDL-CPuNO-09-AMDC-17-2020-2/1,2LmqDL-CPuNO-09-AMDC-17-2020-2,2LmqDL-CPuNO-09-AMDC-17-2020-2,document,500.0
ocds-lcuori-2LmqDL-CPuNO-10-AMDC-19-2020-2,ocds-lcuori-2LmqDL-CPuNO-10-AMDC-19-2020-2/1,2LmqDL-CPuNO-10-AMDC-19-2020-2,2LmqDL-CPuNO-10-AMDC-19-2020-2,document,500.0
ocds-lcuori-7GXa9R-LPN-003-2020-SND-2,ocds-lcuori-7GXa9R-LPN-003-2020-SND-2/3,7GXa9R-LPN-003-2020-SND-2,7GXa9R-LPN-003-2020-SND-2,document,500.0
ocds-lcuori-7rBxpG-LPública No.10-2020-2,ocds-lcuori-7rBxpG-LPública No.10-2020-2/2,7rBxpG-LPública No.10-2020-2,7rBxpG-LPública No.10-2020-2,document,200.0
ocds-lcuori-0rwyzG-MSPS-GI-05-2020-2,ocds-lcuori-0rwyzG-MSPS-GI-05-2020-2/1,0rwyzG-MSPS-GI-05-2020-2,0rwyzG-MSPS-GI-05-2020-2,document,2500.0
ocds-lcuori-7rBxpG-Lpública No. 11-2020-2,ocds-lcuori-7rBxpG-Lpública No. 11-2020-2/2,7rBxpG-Lpública No. 11-2020-2,7rBxpG-Lpública No. 11-2020-2,document,200.0
ocds-lcuori-2LmqDL-COT-01-AMDC-20-2020-2,ocds-lcuori-2LmqDL-COT-01-AMDC-20-2020-2/1,2LmqDL-COT-01-AMDC-20-2020-2,2LmqDL-COT-01-AMDC-20-2020-2,document,200.0
ocds-lcuori-DL9YoL-LPN-01-2020-FAHM-2,ocds-lcuori-DL9YoL-LPN-01-2020-FAHM-2/1,DL9YoL-LPN-01-2020-FAHM-2,DL9YoL-LPN-01-2020-FAHM-2,document,500.0
ocds-lcuori-DL9YoL-LPN-02-2020-FAHM-2,ocds-lcuori-DL9YoL-LPN-02-2020-FAHM-2/1,DL9YoL-LPN-02-2020-FAHM-2,DL9YoL-LPN-02-2020-FAHM-2,document,500.0
ocds-lcuori-kG1ger-LPN-ENP-01-2020-2,ocds-lcuori-kG1ger-LPN-ENP-01-2020-2/2,kG1ger-LPN-ENP-01-2020-2,kG1ger-LPN-ENP-01-2020-2,document,500.0
