ocid,id,contracts/0/id,contracts/0/guarantees/0/id,contracts/0/guarantees/0/guaranteeType,contracts/0/guarantees/0/guarantor/id,contracts/0/guarantees/0/guarantor/name
ocds-lcuori-7rBxpG-CDirecta No.23-2014-2,ocds-lcuori-7rBxpG-CDirecta No.23-2014-2/3,7rBxpG-012-2015,7rBxpG-012-2015,suretyBond,G7GXMRV,Banco del País S.A.
ocds-lcuori-NLP4qL-LPN-03-2015-2,ocds-lcuori-NLP4qL-LPN-03-2015-2/4,NLP4qL-CB-004-2015,NLP4qL-CB-004-2015,suretyBond,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-MLQ18L-HBCBH-001-2015-2,ocds-lcuori-MLQ18L-HBCBH-001-2015-2/3,MLQ18L-HBCBH-012-2015,MLQ18L-HBCBH-012-2015,suretyBond,GDRW5Lg,Seguros Atlántida S.A.
ocds-lcuori-KLg9wR-LPN-006-2015-DA-2,ocds-lcuori-KLg9wR-LPN-006-2015-DA-2/3,KLg9wR-DSL-038-2015-DA,KLg9wR-DSL-038-2015-DA,suretyBond,G7GXMRV,Banco del País S.A.
ocds-lcuori-KLg9wR-LPN-007-2015-DA-2,ocds-lcuori-KLg9wR-LPN-007-2015-DA-2/3,KLg9wR-DSL -040-2015,KLg9wR-DSL -040-2015,suretyBond,G7GXMRV,Banco del País S.A.
ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2,ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2/3,PLeQ0L-MEP 056-2015,PLeQ0L-MEP 056-2015,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2,ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2/3,PLeQ0L-MEP 057-2015,PLeQ0L-MEP 057-2015,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2,ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2/3,PLeQ0L-MEP 058-2015,PLeQ0L-MEP 058-2015,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2,ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2/3,PLeQ0L-MEP 059-2015,PLeQ0L-MEP 059-2015,suretyBond,GXRbOrV,Banco de Occidente S.A.
ocds-lcuori-WRzj0R-LPU-010-2015-2,ocds-lcuori-WRzj0R-LPU-010-2015-2/3,WRzj0R-010-2015,WRzj0R-010-2015,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-WRzj0R-LPU-011-2015-2,ocds-lcuori-WRzj0R-LPU-011-2015-2/3,WRzj0R-011-2015,WRzj0R-011-2015,suretyBond,GvGZwRM,Banco Financiera Comercial S.A.
ocds-lcuori-WRzj0R-LPU-013-2015-2,ocds-lcuori-WRzj0R-LPU-013-2015-2/3,WRzj0R-013-2015,WRzj0R-013-2015,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-XRb6JR-LP 04-2015-2,ocds-lcuori-XRb6JR-LP 04-2015-2/3,XRb6JR-12-2016,XRb6JR-12-2016,suretyBond,GXRbOrV,Banco de Occidente S.A.
ocds-lcuori-kG1ger-pub 02-2015-2,ocds-lcuori-kG1ger-pub 02-2015-2/3,kG1ger-24/2015,kG1ger-24/2015,suretyBond,GNLPKrv,Compañía de Seguros Interamericana S.A.
ocds-lcuori-kG1ger-pub 02-2015-2,ocds-lcuori-kG1ger-pub 02-2015-2/3,kG1ger-24-2015,kG1ger-24-2015,suretyBond,GNLPKrv,Compañía de Seguros Interamericana S.A.
ocds-lcuori-kG1ger-pub 05-2015-2,ocds-lcuori-kG1ger-pub 05-2015-2/3,kG1ger-03-2016,kG1ger-03-2016,suretyBond,GvGZwRM,Banco Financiera Comercial S.A.
ocds-lcuori-JLKAbR-IHAH-002-2015-2,ocds-lcuori-JLKAbR-IHAH-002-2015-2/3,JLKAbR-02,JLKAbR-02,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-wrV3LP-COT-IDECOAS-FHIS-11-2015-2,ocds-lcuori-wrV3LP-COT-IDECOAS-FHIS-11-2015-2/3,wrV3LP-52066,wrV3LP-52066,suretyBond,GwrV3LP,Seguros Crefisa S.A.
