ocid,id,planning/budget/id,planning/budget/budgetBreakdown/0/id,planning/budget/budgetBreakdown/0/description,planning/budget/budgetBreakdown/0/sourceParty/id,planning/budget/budgetBreakdown/0/sourceParty/name
ocds-lcuori-grxy3L-018-2015-2,ocds-lcuori-grxy3L-018-2015-2/3,grxy3L-018-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOk7L-EI-006-2015-2,ocds-lcuori-4LOk7L-EI-006-2015-2/3,4LOk7L-EI-006-2015-2,3.0-FlRo2G5,Prestamo,FlRo2G5,Entidad
ocds-lcuori-7GXmzR-LPN-001-2015 -2,ocds-lcuori-7GXmzR-LPN-001-2015 -2/4,7GXmzR-LPN-001-2015 -2,1.0-FMrMgGe,Recursos Nacionales,FMrMgGe,Fondo Comun
ocds-lcuori-jRDkQG-HMCR-207-2015-2,ocds-lcuori-jRDkQG-HMCR-207-2015-2/4,jRDkQG-HMCR-207-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-MrMagr-LP-001-2015-2,ocds-lcuori-MrMagr-LP-001-2015-2/3,MrMagr-LP-001-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-LP27-2015-2,ocds-lcuori-4LOxWG-LP27-2015-2/4,4LOxWG-LP27-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-LP28-2015-2,ocds-lcuori-4LOxWG-LP28-2015-2/4,4LOxWG-LP28-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-LP29-2015-2,ocds-lcuori-4LOxWG-LP29-2015-2/4,4LOxWG-LP29-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-LP31-2015-2,ocds-lcuori-4LOxWG-LP31-2015-2/4,4LOxWG-LP31-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-LP42-2015-2,ocds-lcuori-4LOxWG-LP42-2015-2/3,4LOxWG-LP42-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-LP43-2015-2,ocds-lcuori-4LOxWG-LP43-2015-2/3,4LOxWG-LP43-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2,ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2/3,mGE36r-LPN-GUAL-01-2015-2,1.0-FMrMgGe,Recursos Nacionales,FMrMgGe,Fondo Comun
ocds-lcuori-7rBxpG-CDirecta No.23-2014-2,ocds-lcuori-7rBxpG-CDirecta No.23-2014-2/3,7rBxpG-CDirecta No.23-2014-2,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-7GX7XL-SS-FM-010-2014-2,ocds-lcuori-7GX7XL-SS-FM-010-2014-2/3,7GX7XL-SS-FM-010-2014-2,2.0-FgGy4LO,Donación,FgGy4LO,Fondo Mundial
ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2,ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2/3,yRl6pL-CI 001 SSIS BM 5294 2015-2,3.0-F1RalG6,Prestamo,F1RalG6,Banco Mundial
ocds-lcuori-orvDGM-Licitación Publica Nacional -2,ocds-lcuori-orvDGM-Licitación Publica Nacional -2/3,orvDGM-Licitación Publica Nacional -2,3.0-FjRDVLk,Prestamo,FjRDVLk,BCIE
ocds-lcuori-4LOxWG-LP44-2015-2,ocds-lcuori-4LOxWG-LP44-2015-2/3,4LOxWG-LP44-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-mGEvMR-LPRIV 01-2015-2,ocds-lcuori-mGEvMR-LPRIV 01-2015-2/3,mGEvMR-LPRIV 01-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2,ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2/4,2LmqDL-CPuNO-01-AMDC-01-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-JL7W2L-LP 001-2015-2,ocds-lcuori-JL7W2L-LP 001-2015-2/3,JL7W2L-LP 001-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-mrY1dr-LPN-SEDS-001-2015-2,ocds-lcuori-mrY1dr-LPN-SEDS-001-2015-2/3,mrY1dr-LPN-SEDS-001-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LmqDL-COT-04-AMDC-2014-2,ocds-lcuori-2LmqDL-COT-04-AMDC-2014-2/3,2LmqDL-COT-04-AMDC-2014-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkVG-LP-02-2015-2,ocds-lcuori-jRDkVG-LP-02-2015-2/3,jRDkVG-LP-02-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-WRzdbL-LP-006-2015-HT-2,ocds-lcuori-WRzdbL-LP-006-2015-HT-2/3,WRzdbL-LP-006-2015-HT-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-kR2qdG-LP-14-HRSC-2015-2,ocds-lcuori-kR2qdG-LP-14-HRSC-2015-2/3,kR2qdG-LP-14-HRSC-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-oLjWZG-MAMSURPAZ /HND-015-B /001-2014-2,ocds-lcuori-oLjWZG-MAMSURPAZ /HND-015-B /001-2014-2/3,oLjWZG-MAMSURPAZ /HND-015-B /001-2014-2,2.0-F2LAkRv,Donación,F2LAkRv,Fondos Multiples Organismos
ocds-lcuori-MrMagr-LP-003-2015-2,ocds-lcuori-MrMagr-LP-003-2015-2/3,MrMagr-LP-003-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-7GX7XL-AEIFirmas2743BLHO0012015-2,ocds-lcuori-7GX7XL-AEIFirmas2743BLHO0012015-2/3,7GX7XL-AEIFirmas2743BLHO0012015-2,3.0-FMLQALQ,Prestamo,FMLQALQ,BID
ocds-lcuori-JLKAbR-001-2015 IHAH- Embajada de Japon-2,ocds-lcuori-JLKAbR-001-2015 IHAH- Embajada de Japon-2/3,JLKAbR-001-2015 IHAH- Embajada de Japon-2,2.0-FXRbOrV,Donación,FXRbOrV,Japon
ocds-lcuori-lRo92L-06-2,ocds-lcuori-lRo92L-06-2/3,lRo92L-06-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-yRl6pL-EI-001-SSIS-PRAF-BID-2737-2015-2,ocds-lcuori-yRl6pL-EI-001-SSIS-PRAF-BID-2737-2015-2/3,yRl6pL-EI-001-SSIS-PRAF-BID-2737-2015-2,1.0-FMLQALQ,Recursos Nacionales,FMLQALQ,BID
ocds-lcuori-orvPDG-LP-035-ONCAE-2015-2,ocds-lcuori-orvPDG-LP-035-ONCAE-2015-2/3,orvPDG-LP-035-ONCAE-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-Zr5B9L-LPN-002-2015SS-2,ocds-lcuori-Zr5B9L-LPN-002-2015SS-2/3,Zr5B9L-LPN-002-2015SS-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-lRojQG-18004-2,ocds-lcuori-lRojQG-18004-2/3,lRojQG-18004-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-003-2015-2,ocds-lcuori-jRDkQG-HMCR-003-2015-2/3,jRDkQG-HMCR-003-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-006-2015-2,ocds-lcuori-jRDkQG-HMCR-006-2015-2/3,jRDkQG-HMCR-006-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-011-2015-2,ocds-lcuori-jRDkQG-HMCR-011-2015-2/3,jRDkQG-HMCR-011-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-018-2015-2,ocds-lcuori-jRDkQG-HMCR-018-2015-2/3,jRDkQG-HMCR-018-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-021-2015-2,ocds-lcuori-jRDkQG-HMCR-021-2015-2/3,jRDkQG-HMCR-021-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-023-2015-2,ocds-lcuori-jRDkQG-HMCR-023-2015-2/3,jRDkQG-HMCR-023-2015-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
