ocid,id,awards/0/id
ocds-lcuori-DL9kwR-CC-6694-TSC-2017-1,ocds-lcuori-DL9kwR-CC-6694-TSC-2017-1/3,DL9kwR-CC-6694-TSC-2017-1
ocds-lcuori-XRbOkr-CS-CSJ-2017-0069-1,ocds-lcuori-XRbOkr-CS-CSJ-2017-0069-1/3,XRbOkr-CS-CSJ-2017-0069-1
ocds-lcuori-8L4YaG-CM-0001-INA-2017-1,ocds-lcuori-8L4YaG-CM-0001-INA-2017-1/3,8L4YaG-CM-0001-INA-2017-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-18-2017-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-18-2017-1/3,DRWQ0L-HONDUCOR-DC-18-2017-1
ocds-lcuori-XRbOkr-CS-CSJ-2017-0040-1,ocds-lcuori-XRbOkr-CS-CSJ-2017-0040-1/3,XRbOkr-CS-CSJ-2017-0040-1
ocds-lcuori-PLeQ0L-CM-MEP-053-17-1,ocds-lcuori-PLeQ0L-CM-MEP-053-17-1/4,PLeQ0L-CM-MEP-053-17-1
ocds-lcuori-0rwm9G-C-201710-1,ocds-lcuori-0rwm9G-C-201710-1/3,0rwm9G-C-201710-1
ocds-lcuori-PLeQ0L-CM-MEP-065-17-1,ocds-lcuori-PLeQ0L-CM-MEP-065-17-1/4,PLeQ0L-CM-MEP-065-17-1
ocds-lcuori-PLeQ0L-CM-MEP-068-17-1,ocds-lcuori-PLeQ0L-CM-MEP-068-17-1/4,PLeQ0L-CM-MEP-068-17-1
ocds-lcuori-kG1ger-CM-033-ENP-2017-1,ocds-lcuori-kG1ger-CM-033-ENP-2017-1/3,kG1ger-CM-033-ENP-2017-1
ocds-lcuori-kG1ger-CM-034-ENP-2017-1,ocds-lcuori-kG1ger-CM-034-ENP-2017-1/3,kG1ger-CM-034-ENP-2017-1
ocds-lcuori-WRzj0R-CM-19683-PV-2017-1,ocds-lcuori-WRzj0R-CM-19683-PV-2017-1/3,WRzj0R-CM-19683-PV-2017-1
ocds-lcuori-kG1ger-CM-80-ENP-2017-1,ocds-lcuori-kG1ger-CM-80-ENP-2017-1/3,kG1ger-CM-80-ENP-2017-1
ocds-lcuori-MrMPYR-017-2017-1,ocds-lcuori-MrMPYR-017-2017-1/3,MrMPYR-017-2017-1
ocds-lcuori-PLeQ0L-CM-MEP-075-17-1,ocds-lcuori-PLeQ0L-CM-MEP-075-17-1/4,PLeQ0L-CM-MEP-075-17-1
ocds-lcuori-PLeQ0L-CM-MEP-080-17-1,ocds-lcuori-PLeQ0L-CM-MEP-080-17-1/4,PLeQ0L-CM-MEP-080-17-1
ocds-lcuori-PLeQ0L-CM-MEP-082-17-1,ocds-lcuori-PLeQ0L-CM-MEP-082-17-1/4,PLeQ0L-CM-MEP-082-17-1
ocds-lcuori-PLeQ0L-CM-MEP-088-17-1,ocds-lcuori-PLeQ0L-CM-MEP-088-17-1/4,PLeQ0L-CM-MEP-088-17-1
ocds-lcuori-PLeQ0L-CM-MEP-089-100-1,ocds-lcuori-PLeQ0L-CM-MEP-089-100-1/4,PLeQ0L-CM-MEP-089-100-1
ocds-lcuori-PLeQ0L-CM-MEP-091-17-1,ocds-lcuori-PLeQ0L-CM-MEP-091-17-1/4,PLeQ0L-CM-MEP-091-17-1
ocds-lcuori-PLeAqL-COPECO-CM-041-2017-1,ocds-lcuori-PLeAqL-COPECO-CM-041-2017-1/3,PLeAqL-COPECO-CM-041-2017-1
ocds-lcuori-MrMPYR-001-2017-1,ocds-lcuori-MrMPYR-001-2017-1/3,MrMPYR-001-2017-1
ocds-lcuori-MLQmwL-CM-003-2017-1,ocds-lcuori-MLQmwL-CM-003-2017-1/3,MLQmwL-CM-003-2017-1
ocds-lcuori-MrMPYR-002-2017-1,ocds-lcuori-MrMPYR-002-2017-1/3,MrMPYR-002-2017-1
ocds-lcuori-jRDA5r-Solicitud 21-22-1,ocds-lcuori-jRDA5r-Solicitud 21-22-1/4,jRDA5r-Solicitud 21-22-1
ocds-lcuori-kR2EBG-04-2017-1,ocds-lcuori-kR2EBG-04-2017-1/3,kR2EBG-04-2017-1
ocds-lcuori-jRDA5r-Solicitud 2423 -1,ocds-lcuori-jRDA5r-Solicitud 2423 -1/3,jRDA5r-Solicitud 2423 -1
ocds-lcuori-WRzw3r-CM-01-2017-1,ocds-lcuori-WRzw3r-CM-01-2017-1/3,WRzw3r-CM-01-2017-1
ocds-lcuori-WRzw3r-CM-02-2017-1,ocds-lcuori-WRzw3r-CM-02-2017-1/3,WRzw3r-CM-02-2017-1
ocds-lcuori-WRzw3r-CM-03-2017-1,ocds-lcuori-WRzw3r-CM-03-2017-1/3,WRzw3r-CM-03-2017-1
ocds-lcuori-gLkw4L-CM-156-HBCB-2016-1,ocds-lcuori-gLkw4L-CM-156-HBCB-2016-1/4,gLkw4L-CM-156-HBCB-2016-1
ocds-lcuori-jRDA5r-Solicitud No 24 -1,ocds-lcuori-jRDA5r-Solicitud No 24 -1/3,jRDA5r-Solicitud No 24 -1
ocds-lcuori-PLeQ0L-CM-MEP-096-17-1,ocds-lcuori-PLeQ0L-CM-MEP-096-17-1/4,PLeQ0L-CM-MEP-096-17-1
ocds-lcuori-PLeQ0L-CM-MEP-097-17-1,ocds-lcuori-PLeQ0L-CM-MEP-097-17-1/4,PLeQ0L-CM-MEP-097-17-1
