ocid,id,contracts/0/id,contracts/0/guarantees/0/id,contracts/0/guarantees/0/guaranteeType,contracts/0/guarantees/0/guarantor/id,contracts/0/guarantees/0/guarantor/name
ocds-lcuori-XRb6JR-REQ-925-2017-1,ocds-lcuori-XRb6JR-REQ-925-2017-1/3,XRb6JR-REQ-925-2017,XRb6JR-REQ-925-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-XRb6JR-REQ-926-2017-1,ocds-lcuori-XRb6JR-REQ-926-2017-1/3,XRb6JR-REQ-926-2017,XRb6JR-REQ-926-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-jRDkVG-LP-06-2017-2,ocds-lcuori-jRDkVG-LP-06-2017-2/3,jRDkVG-LP-06-2017,jRDkVG-LP-06-2017,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-XRb6JR-REQ-901-2017-1,ocds-lcuori-XRb6JR-REQ-901-2017-1/3,XRb6JR-REQ-901-2017,XRb6JR-REQ-901-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-XRb6JR-LPN-03-2017-2,ocds-lcuori-XRb6JR-LPN-03-2017-2/3,XRb6JR-52-2017,XRb6JR-52-2017,suretyBond,GZGqwr0,Banco HSBC Honduras S.A 
ocds-lcuori-XRb6JR-LPN-03-2017-2,ocds-lcuori-XRb6JR-LPN-03-2017-2/3,XRb6JR-55-2017,XRb6JR-55-2017,suretyBond,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-WRzj0R-LPR-001-2017-2,ocds-lcuori-WRzj0R-LPR-001-2017-2/3,WRzj0R-LPR-001-2017,WRzj0R-LPR-001-2017,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-XRb6JR-REQ-897-2017-1,ocds-lcuori-XRb6JR-REQ-897-2017-1/3,XRb6JR-REQ-897-2017,XRb6JR-REQ-897-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-7GXMRV- LP-012-CN-DGOP-OO.UU.-2017 -2,ocds-lcuori-7GXMRV- LP-012-CN-DGOP-OO.UU.-2017 -2/3,7GXMRV-143-CO-CN-DGOP-INSEP.-2017,7GXMRV-143-CO-CN-DGOP-INSEP.-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-27-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-27-2017-2/3,wrV3LP-66220,wrV3LP-66220,suretyBond,GkG1DLQ,Seguros del País S.A.
ocds-lcuori-XRb6JR-REQ-950-2017-1,ocds-lcuori-XRb6JR-REQ-950-2017-1/3,XRb6JR-REQ-950-2017,XRb6JR-REQ-950-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-PLeQ0L-Licitacion Pub Nac LPN MEP 02-2017-2,ocds-lcuori-PLeQ0L-Licitacion Pub Nac LPN MEP 02-2017-2/3,PLeQ0L-MEP 19-2017,PLeQ0L-MEP 19-2017,suretyBond,G7GXMRV,Banco del País S.A.
ocds-lcuori-7rBxpG-CDirecta No.13-2016-2,ocds-lcuori-7rBxpG-CDirecta No.13-2016-2/3,7rBxpG-039-2017,7rBxpG-039-2017,suretyBond,GmrYzL9,Banco Financiera Centroamericana S.A.
ocds-lcuori-7rBxpG-BCH-CM-T7953-1,ocds-lcuori-7rBxpG-BCH-CM-T7953-1/3,7rBxpG-037-2017,7rBxpG-037-2017,suretyBond,GmrYzL9,Banco Financiera Centroamericana S.A.
ocds-lcuori-7GXMRV-LP-008-CN-DGOP-OO.UU.-2017-2,ocds-lcuori-7GXMRV-LP-008-CN-DGOP-OO.UU.-2017-2/3,7GXMRV-139-CO-CN-DGOP-INSEP.-2017,7GXMRV-139-CO-CN-DGOP-INSEP.-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-29-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-29-2017-2/3,wrV3LP-62301,wrV3LP-62301,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-30-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-30-2017-2/3,wrV3LP-62270,wrV3LP-62270,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-7GXmzR-LP-002-2017 CCIVS -2,ocds-lcuori-7GXmzR-LP-002-2017 CCIVS -2/3,7GXmzR-P2-015-2017 CCIVS ,7GXmzR-P2-015-2017 CCIVS ,suretyBond,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-7GXmzR-LP-002-2017 CCIVS -2,ocds-lcuori-7GXmzR-LP-002-2017 CCIVS -2/3,7GXmzR-P6-014-2017 CCIVS ,7GXmzR-P6-014-2017 CCIVS ,suretyBond,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-XRb6JR-REQ-1537-2017-1,ocds-lcuori-XRb6JR-REQ-1537-2017-1/3,XRb6JR-REQ-1537-2017,XRb6JR-REQ-1537-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-XRb6JR-REQ-1536-2017-1,ocds-lcuori-XRb6JR-REQ-1536-2017-1/3,XRb6JR-REQ-1536-2017,XRb6JR-REQ-1536-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-wrVn3r-LP49-HSI-2017-2,ocds-lcuori-wrVn3r-LP49-HSI-2017-2/3,wrVn3r-49-17,wrVn3r-49-17,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-wrVn3r-LP51-HSI-2017-2,ocds-lcuori-wrVn3r-LP51-HSI-2017-2/3,wrVn3r-51-17,wrVn3r-51-17,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-wrVn3r-LP52-HSI-2017-2,ocds-lcuori-wrVn3r-LP52-HSI-2017-2/3,wrVn3r-52-17,wrVn3r-52-17,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-wrVn3r-LP53-HSI-2017-2,ocds-lcuori-wrVn3r-LP53-HSI-2017-2/3,wrVn3r-53-17,wrVn3r-53-17,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-wrVn3r-LP56-HSI-2017-2,ocds-lcuori-wrVn3r-LP56-HSI-2017-2/3,wrVn3r-56-17,wrVn3r-56-17,check,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-wrVn3r-LP57-HSI-2017-2,ocds-lcuori-wrVn3r-LP57-HSI-2017-2/3,wrVn3r-57-17,wrVn3r-57-17,check,GZGqwr0,Banco HSBC Honduras S.A 
ocds-lcuori-wrVn3r-LP58-HSI-2017-2,ocds-lcuori-wrVn3r-LP58-HSI-2017-2/3,wrVn3r-58-17,wrVn3r-58-17,check,GZGqwr0,Banco HSBC Honduras S.A 
ocds-lcuori-wrVn3r-LP59-HSI-2017-2,ocds-lcuori-wrVn3r-LP59-HSI-2017-2/3,wrVn3r-59-17,wrVn3r-59-17,check,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-grxzMG-LPN-SAR-BID-022-2017-2,ocds-lcuori-grxzMG-LPN-SAR-BID-022-2017-2/3,grxzMG-SAR-BID-CO-011-2018,grxzMG-SAR-BID-CO-011-2018,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-WRzdbL-LP-014-2017-HT-2,ocds-lcuori-WRzdbL-LP-014-2017-HT-2/3,WRzdbL-097-2017,WRzdbL-097-2017,check,GXRbOrV,Banco de Occidente S.A.
ocds-lcuori-NrdVGA-001-DGAF-DGA-SE-2017-2,ocds-lcuori-NrdVGA-001-DGAF-DGA-SE-2017-2/3,NrdVGA-002-2017,NrdVGA-002-2017,suretyBond,GXRbOrV,Banco de Occidente S.A.
ocds-lcuori-WRzdbL-LP-015-2017-HT-2,ocds-lcuori-WRzdbL-LP-015-2017-HT-2/3,WRzdbL-098-2017,WRzdbL-098-2017,check,GvGZwRM,Banco Financiera Comercial S.A.
ocds-lcuori-wrV3LP-LPN-IDECOAS-FHIS-05-2017-2,ocds-lcuori-wrV3LP-LPN-IDECOAS-FHIS-05-2017-2/3,wrV3LP-61060,wrV3LP-61060,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-WRzj0R-LPR-002-2017-2,ocds-lcuori-WRzj0R-LPR-002-2017-2/3,WRzj0R-LPR-002-2017,WRzj0R-LPR-002-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-yRlm9r-CM-UNACIFOR.MARZO-024/2017-1,ocds-lcuori-yRlm9r-CM-UNACIFOR.MARZO-024/2017-1/4,yRlm9r-CM-UNACIFOR-MARZO-24-2017,yRlm9r-CM-UNACIFOR-MARZO-24-2017,,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-7rBxpG-LPública No.36-2017-2,ocds-lcuori-7rBxpG-LPública No.36-2017-2/3,7rBxpG-023-2018,7rBxpG-023-2018,suretyBond,GmrYzL9,Banco Financiera Centroamericana S.A.
ocds-lcuori-7rBxpG-LPública No.37-2017-2,ocds-lcuori-7rBxpG-LPública No.37-2017-2/3,7rBxpG-057-2018,7rBxpG-057-2018,suretyBond,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-7rBxpG-LPública No.37-2017-2,ocds-lcuori-7rBxpG-LPública No.37-2017-2/3,7rBxpG-058-2018,7rBxpG-058-2018,suretyBond,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-7rBxpG-LPública No.37-2017-2,ocds-lcuori-7rBxpG-LPública No.37-2017-2/3,7rBxpG-059-2018,7rBxpG-059-2018,suretyBond,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-7rBxpG-LPública No.37-2017-2,ocds-lcuori-7rBxpG-LPública No.37-2017-2/3,7rBxpG-060-2018,7rBxpG-060-2018,suretyBond,G7GXMRV,Banco del País S.A.
ocds-lcuori-XRb6JR-REQ-930-2017-1,ocds-lcuori-XRb6JR-REQ-930-2017-1/4,XRb6JR-REQ-930-2017,XRb6JR-REQ-930-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-XRb6JR-REQ-961-2017-1,ocds-lcuori-XRb6JR-REQ-961-2017-1/3,XRb6JR-REQ-961-2017,XRb6JR-REQ-961-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-XRb6JR-REQ-962-2017-1,ocds-lcuori-XRb6JR-REQ-962-2017-1/3,XRb6JR-REQ-962-2017,XRb6JR-REQ-962-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-7rBxpG-LPública No.39-2017-2,ocds-lcuori-7rBxpG-LPública No.39-2017-2/4,7rBxpG-039-2018,7rBxpG-039-2018,suretyBond,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-wrVn3r-LP01-HSI-2017-2,ocds-lcuori-wrVn3r-LP01-HSI-2017-2/3,wrVn3r-01-17,wrVn3r-01-17,check,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-XRb6JR-REQ-1348-2017-1,ocds-lcuori-XRb6JR-REQ-1348-2017-1/3,XRb6JR-REQ-1348-2017,XRb6JR-REQ-1348-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-wrVn3r-LP02-HSI-2017-2,ocds-lcuori-wrVn3r-LP02-HSI-2017-2/3,wrVn3r-02-17,wrVn3r-02-17,check,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-XRb6JR-REQ-1338-2017-1,ocds-lcuori-XRb6JR-REQ-1338-2017-1/3,XRb6JR-REQ-1338-2017,XRb6JR-REQ-1338-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-MLQW8R-04-2017-2,ocds-lcuori-MLQW8R-04-2017-2/3,MLQW8R-1209-2017,MLQW8R-1209-2017,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-XRb6JR-REQ-1333-2017-1,ocds-lcuori-XRb6JR-REQ-1333-2017-1/3,XRb6JR-REQ-1333-2017,XRb6JR-REQ-1333-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-XRb6JR-REQ-1334-2017-1,ocds-lcuori-XRb6JR-REQ-1334-2017-1/3,XRb6JR-REQ-1334-2017,XRb6JR-REQ-1334-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-wrVn3r-LP13-HSI-2017-2,ocds-lcuori-wrVn3r-LP13-HSI-2017-2/3,wrVn3r-13-17,wrVn3r-13-17,,G7GXMRV,Banco del País S.A.
ocds-lcuori-wrVn3r-LP14-HSI-2017-2,ocds-lcuori-wrVn3r-LP14-HSI-2017-2/3,wrVn3r-14-17,wrVn3r-14-17,,G7GXMRV,Banco del País S.A.
ocds-lcuori-wrVn3r-LP06-HSI-2017-2,ocds-lcuori-wrVn3r-LP06-HSI-2017-2/3,wrVn3r-06-17,wrVn3r-06-17,check,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-wrVn3r-LP15-HSI-2017-2,ocds-lcuori-wrVn3r-LP15-HSI-2017-2/3,wrVn3r-15-17,wrVn3r-15-17,,G7GXMRV,Banco del País S.A.
ocds-lcuori-vGZKAR-CM-AMD-UTM-027-2017-1,ocds-lcuori-vGZKAR-CM-AMD-UTM-027-2017-1/4,vGZKAR-UTM CONT.-00092-2017,vGZKAR-UTM CONT.-00092-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-wrVn3r-LP16-HSI-2017-2,ocds-lcuori-wrVn3r-LP16-HSI-2017-2/3,wrVn3r-16-17,wrVn3r-16-17,,G7GXMRV,Banco del País S.A.
ocds-lcuori-wrVn3r-LP07-HSI-2017-2,ocds-lcuori-wrVn3r-LP07-HSI-2017-2/3,wrVn3r-07-17,wrVn3r-07-17,check,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-wrVn3r-LP17-HSI-2017-2,ocds-lcuori-wrVn3r-LP17-HSI-2017-2/3,wrVn3r-17-17,wrVn3r-17-17,,G7GXMRV,Banco del País S.A.
ocds-lcuori-wrVn3r-LP08-HSI-2017-2,ocds-lcuori-wrVn3r-LP08-HSI-2017-2/3,wrVn3r-08-17,wrVn3r-08-17,,GZGqwr0,Banco HSBC Honduras S.A 
ocds-lcuori-wrVn3r-LP18-HSI-2017-2,ocds-lcuori-wrVn3r-LP18-HSI-2017-2/3,wrVn3r-18-17,wrVn3r-18-17,,G7GXMRV,Banco del País S.A.
ocds-lcuori-wrVn3r-LP09-HSI-2017-2,ocds-lcuori-wrVn3r-LP09-HSI-2017-2/3,wrVn3r-09-17,wrVn3r-09-17,,GZGqwr0,Banco HSBC Honduras S.A 
ocds-lcuori-wrVn3r-LP10-HSI-2017-2,ocds-lcuori-wrVn3r-LP10-HSI-2017-2/3,wrVn3r-10-17,wrVn3r-10-17,,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-wrVn3r-LP20-HSI-2017-2,ocds-lcuori-wrVn3r-LP20-HSI-2017-2/3,wrVn3r-20-17,wrVn3r-20-17,check,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-wrVn3r-LP21-HSI-2017-2,ocds-lcuori-wrVn3r-LP21-HSI-2017-2/3,wrVn3r-21-17,wrVn3r-21-17,check,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-wrVn3r-CC11-HSI-2017-1,ocds-lcuori-wrVn3r-CC11-HSI-2017-1/3,wrVn3r-11-17,wrVn3r-11-17,check,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-yRlm9r-CM-UNACIFOR.MARZO-026/2017-1,ocds-lcuori-yRlm9r-CM-UNACIFOR.MARZO-026/2017-1/4,yRlm9r-CM-UNACIFOR.MARZO-026/2017,yRlm9r-CM-UNACIFOR.MARZO-026/2017,,G7GXMRV,Banco del País S.A.
ocds-lcuori-grxXEr-L.P. 042-17-2,ocds-lcuori-grxXEr-L.P. 042-17-2/3,grxXEr-3105,grxXEr-3105,check,GXRbOrV,Banco de Occidente S.A.
ocds-lcuori-grxXEr-L.P 043-2,ocds-lcuori-grxXEr-L.P 043-2/3,grxXEr-3106,grxXEr-3106,check,GXRbOrV,Banco de Occidente S.A.
ocds-lcuori-wrVn3r-LP23-HSI-2017-2,ocds-lcuori-wrVn3r-LP23-HSI-2017-2/3,wrVn3r-23-17,wrVn3r-23-17,check,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-wrVn3r-LP24-HSI-2017-2,ocds-lcuori-wrVn3r-LP24-HSI-2017-2/3,wrVn3r-24-17,wrVn3r-24-17,,G7GXMRV,Banco del País S.A.
ocds-lcuori-wrVn3r-CC28-HSI-2017-1,ocds-lcuori-wrVn3r-CC28-HSI-2017-1/3,wrVn3r-28-17,wrVn3r-28-17,check,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-wrVn3r-CC29-HSI-2017-1,ocds-lcuori-wrVn3r-CC29-HSI-2017-1/3,wrVn3r-29-17,wrVn3r-29-17,check,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-grxXEr-LP. 036-17-2,ocds-lcuori-grxXEr-LP. 036-17-2/3,grxXEr-3084,grxXEr-3084,check,GvGZwRM,Banco Financiera Comercial S.A.
ocds-lcuori-XRb6JR-REQ-963-2017-1,ocds-lcuori-XRb6JR-REQ-963-2017-1/3,XRb6JR-REQ-963-2017,XRb6JR-REQ-963-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-XRb6JR-REQ-984-2017-1,ocds-lcuori-XRb6JR-REQ-984-2017-1/3,XRb6JR-REQ-984-2017,XRb6JR-REQ-984-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-XRb6JR-REQ-982-2017-1,ocds-lcuori-XRb6JR-REQ-982-2017-1/3,XRb6JR-REQ-982-2017,XRb6JR-REQ-982-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-ZGqW9r-LPN-0014-IPM-2017-2,ocds-lcuori-ZGqW9r-LPN-0014-IPM-2017-2/3,ZGqW9r-LPN-0014-IPM-2017,ZGqW9r-LPN-0014-IPM-2017,suretyBond,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-XRb6JR-REQ-455-2017-1,ocds-lcuori-XRb6JR-REQ-455-2017-1/3,XRb6JR-REQ-455-2017,XRb6JR-REQ-455-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-grxXEr-L.p. 020-17-2,ocds-lcuori-grxXEr-L.p. 020-17-2/3,grxXEr-3044,grxXEr-3044,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-grxXEr-LP. 037-17-2,ocds-lcuori-grxXEr-LP. 037-17-2/3,grxXEr-3086,grxXEr-3086,check,GXRbOrV,Banco de Occidente S.A.
ocds-lcuori-MLQnAG-LPri-SESAL-HGS-029-2017-2,ocds-lcuori-MLQnAG-LPri-SESAL-HGS-029-2017-2/3,MLQnAG-LPri-SESAL-HGS-029-20172,MLQnAG-LPri-SESAL-HGS-029-20172,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-XRb6JR-REQ-701-2017-1,ocds-lcuori-XRb6JR-REQ-701-2017-1/3,XRb6JR-REQ-701-2017,XRb6JR-REQ-701-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-MLQnAG-LPri-SESAL-HGS-019-2017-2,ocds-lcuori-MLQnAG-LPri-SESAL-HGS-019-2017-2/3,MLQnAG-LPri-SESAL-HGS-019-20172,MLQnAG-LPri-SESAL-HGS-019-20172,check,G8L4PLY,Banco de América Central de Honduras
