ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/value/amount,tender/participationFees/0/type
ocds-lcuori-orvkNL-LPN No.02-2017-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.02-2017-SEAF-UNAH-2/3,orvkNL-LPN No.02-2017-SEAF-UNAH-2,orvkNL-LPN No.02-2017-SEAF-UNAH-2,500.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-22-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-22-2017-2/3,wrV3LP-LPR-IDECOAS-FHIS-22-2017-2,wrV3LP-LPR-IDECOAS-FHIS-22-2017-2,300.0,document
ocds-lcuori-MLQW8R-02-2017-2,ocds-lcuori-MLQW8R-02-2017-2/3,MLQW8R-02-2017-2,MLQW8R-02-2017-2,50.0,document
ocds-lcuori-gLn2nL-Subasta Pública-DNBE-CP-001-2017-2,ocds-lcuori-gLn2nL-Subasta Pública-DNBE-CP-001-2017-2/3,gLn2nL-Subasta Pública-DNBE-CP-001-2017-2,gLn2nL-Subasta Pública-DNBE-CP-001-2017-2,100.0,document
ocds-lcuori-2LmqDL-LPrNO-101-AMDC-125-2017-2,ocds-lcuori-2LmqDL-LPrNO-101-AMDC-125-2017-2/3,2LmqDL-LPrNO-101-AMDC-125-2017-2,2LmqDL-LPrNO-101-AMDC-125-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-108-AMDC-132-2017-2,ocds-lcuori-2LmqDL-LPrNO-108-AMDC-132-2017-2/3,2LmqDL-LPrNO-108-AMDC-132-2017-2,2LmqDL-LPrNO-108-AMDC-132-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-109-AMDC-133-2017-2,ocds-lcuori-2LmqDL-LPrNO-109-AMDC-133-2017-2/3,2LmqDL-LPrNO-109-AMDC-133-2017-2,2LmqDL-LPrNO-109-AMDC-133-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-111-AMDC-135-2017-2,ocds-lcuori-2LmqDL-LPrNO-111-AMDC-135-2017-2/3,2LmqDL-LPrNO-111-AMDC-135-2017-2,2LmqDL-LPrNO-111-AMDC-135-2017-2,200.0,document
ocds-lcuori-ZGqbBR-LPN No MPC-GAF-04-2017-2,ocds-lcuori-ZGqbBR-LPN No MPC-GAF-04-2017-2/3,ZGqbBR-LPN No MPC-GAF-04-2017-2,ZGqbBR-LPN No MPC-GAF-04-2017-2,500.0,document
ocds-lcuori-DL9YoL-LPN 03-2017-FAHM-2,ocds-lcuori-DL9YoL-LPN 03-2017-FAHM-2/3,DL9YoL-LPN 03-2017-FAHM-2,DL9YoL-LPN 03-2017-FAHM-2,500.0,document
ocds-lcuori-7GXmzR-LP-001-2017_CCIVS-2,ocds-lcuori-7GXmzR-LP-001-2017_CCIVS-2/3,7GXmzR-LP-001-2017_CCIVS-2,7GXmzR-LP-001-2017_CCIVS-2,1000.0,document
ocds-lcuori-2LmqDL-LPrNO-124-AMDC-156-2017-2,ocds-lcuori-2LmqDL-LPrNO-124-AMDC-156-2017-2/3,2LmqDL-LPrNO-124-AMDC-156-2017-2,2LmqDL-LPrNO-124-AMDC-156-2017-2,200.0,document
ocds-lcuori-0rwyzG-MSPS-GI-07-2017-2,ocds-lcuori-0rwyzG-MSPS-GI-07-2017-2/3,0rwyzG-MSPS-GI-07-2017-2,0rwyzG-MSPS-GI-07-2017-2,2500.0,document
ocds-lcuori-2LmqDL-LPrNO-133-AMDC-165-2017-2,ocds-lcuori-2LmqDL-LPrNO-133-AMDC-165-2017-2/3,2LmqDL-LPrNO-133-AMDC-165-2017-2,2LmqDL-LPrNO-133-AMDC-165-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-182-AMDC-216-2017-2,ocds-lcuori-2LmqDL-LPrNO-182-AMDC-216-2017-2/3,2LmqDL-LPrNO-182-AMDC-216-2017-2,2LmqDL-LPrNO-182-AMDC-216-2017-2,200.0,document
ocds-lcuori-WRz0xL-LPN-SAR-001-2017-2,ocds-lcuori-WRz0xL-LPN-SAR-001-2017-2/3,WRz0xL-LPN-SAR-001-2017-2,WRz0xL-LPN-SAR-001-2017-2,500.0,document
ocds-lcuori-2LmqDL-LPrNO-104-AMDC-128-2017-2,ocds-lcuori-2LmqDL-LPrNO-104-AMDC-128-2017-2/3,2LmqDL-LPrNO-104-AMDC-128-2017-2,2LmqDL-LPrNO-104-AMDC-128-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-106-AMDC-130-2017-2,ocds-lcuori-2LmqDL-LPrNO-106-AMDC-130-2017-2/3,2LmqDL-LPrNO-106-AMDC-130-2017-2,2LmqDL-LPrNO-106-AMDC-130-2017-2,200.0,document
ocds-lcuori-lRoy5L-Subasta Publica Chatarra DNBE-CONSUCOOP-001-2017-2,ocds-lcuori-lRoy5L-Subasta Publica Chatarra DNBE-CONSUCOOP-001-2017-2/3,lRoy5L-Subasta Publica Chatarra DNBE-CONSUCOOP-001-2017-2,lRoy5L-Subasta Publica Chatarra DNBE-CONSUCOOP-001-2017-2,100.0,document
ocds-lcuori-ZGqbBR-LPN-No MPC-GAF-01-2017-2,ocds-lcuori-ZGqbBR-LPN-No MPC-GAF-01-2017-2/3,ZGqbBR-LPN-No MPC-GAF-01-2017-2,ZGqbBR-LPN-No MPC-GAF-01-2017-2,1000.0,document
ocds-lcuori-orvkNL-LPN No.05-2017-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.05-2017-SEAF-UNAH-2/3,orvkNL-LPN No.05-2017-SEAF-UNAH-2,orvkNL-LPN No.05-2017-SEAF-UNAH-2,500.0,document
ocds-lcuori-Zr5mWr-CPN No. 02-2017-SEAPI-UNAH-2,ocds-lcuori-Zr5mWr-CPN No. 02-2017-SEAPI-UNAH-2/3,Zr5mWr-CPN No. 02-2017-SEAPI-UNAH-2,Zr5mWr-CPN No. 02-2017-SEAPI-UNAH-2,1000.0,document
ocds-lcuori-2LmqDL-LPuNO-10-AMDC-142-2017-2,ocds-lcuori-2LmqDL-LPuNO-10-AMDC-142-2017-2/3,2LmqDL-LPuNO-10-AMDC-142-2017-2,2LmqDL-LPuNO-10-AMDC-142-2017-2,250.0,document
ocds-lcuori-mrY1dr-LPN No. SEDS-015-2017-2,ocds-lcuori-mrY1dr-LPN No. SEDS-015-2017-2/3,mrY1dr-LPN No. SEDS-015-2017-2,mrY1dr-LPN No. SEDS-015-2017-2,300.0,document
ocds-lcuori-gRN9jG-NoSS-FAHSL/008 -2017-2,ocds-lcuori-gRN9jG-NoSS-FAHSL/008 -2017-2/3,gRN9jG-NoSS-FAHSL/008 -2017-2,gRN9jG-NoSS-FAHSL/008 -2017-2,300.0,document
ocds-lcuori-2LmqDL-LPrNO-142-AMDC-174-2017-2,ocds-lcuori-2LmqDL-LPrNO-142-AMDC-174-2017-2/3,2LmqDL-LPrNO-142-AMDC-174-2017-2,2LmqDL-LPrNO-142-AMDC-174-2017-2,200.0,document
ocds-lcuori-oLj7mG-CONSTRUCCION DEL TRAMO DE CALLE DE LA 1era. AVE N.-2,ocds-lcuori-oLj7mG-CONSTRUCCION DEL TRAMO DE CALLE DE LA 1era. AVE N.-2/3,oLj7mG-CONSTRUCCION DEL TRAMO DE CALLE DE LA 1era. AVE N.-2,oLj7mG-CONSTRUCCION DEL TRAMO DE CALLE DE LA 1era. AVE N.-2,500.0,document
ocds-lcuori-7GX94R-IT ONCAE-2,ocds-lcuori-7GX94R-IT ONCAE-2/3,7GX94R-IT ONCAE-2,7GX94R-IT ONCAE-2,800.0,document
ocds-lcuori-7rBxpG-LPública No.48-2016-2,ocds-lcuori-7rBxpG-LPública No.48-2016-2/3,7rBxpG-LPública No.48-2016-2,7rBxpG-LPública No.48-2016-2,1200.0,document
ocds-lcuori-wrV3LP-COT-IDECOAS-FHIS-01-2017-2,ocds-lcuori-wrV3LP-COT-IDECOAS-FHIS-01-2017-2/3,wrV3LP-COT-IDECOAS-FHIS-01-2017-2,wrV3LP-COT-IDECOAS-FHIS-01-2017-2,300.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-01-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-01-2017-2/3,wrV3LP-LPR-IDECOAS-FHIS-01-2017-2,wrV3LP-LPR-IDECOAS-FHIS-01-2017-2,300.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-02-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-02-2017-2/3,wrV3LP-LPR-IDECOAS-FHIS-02-2017-2,wrV3LP-LPR-IDECOAS-FHIS-02-2017-2,300.0,document
ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-03-2017-2,ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-03-2017-2/3,mGE4eL-LPR-IDECOAS-FHIS-03-2017-2,mGE4eL-LPR-IDECOAS-FHIS-03-2017-2,300.0,document
ocds-lcuori-PR847R-ICF-GA-LPN-001-2017-2,ocds-lcuori-PR847R-ICF-GA-LPN-001-2017-2/3,PR847R-ICF-GA-LPN-001-2017-2,PR847R-ICF-GA-LPN-001-2017-2,500.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-123-2016 2º proceso-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-123-2016 2º proceso-2/3,wrV3LP-LPR-IDECOAS-FHIS-123-2016 2º proceso-2,wrV3LP-LPR-IDECOAS-FHIS-123-2016 2º proceso-2,300.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-06-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-06-2017-2/3,wrV3LP-LPR-IDECOAS-FHIS-06-2017-2,wrV3LP-LPR-IDECOAS-FHIS-06-2017-2,300.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-07-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-07-2017-2/3,wrV3LP-LPR-IDECOAS-FHIS-07-2017-2,wrV3LP-LPR-IDECOAS-FHIS-07-2017-2,300.0,document
ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-04-2017-2,ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-04-2017-2/3,mGE4eL-LPR-IDECOAS-FHIS-04-2017-2,mGE4eL-LPR-IDECOAS-FHIS-04-2017-2,300.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-08-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-08-2017-2/3,wrV3LP-LPR-IDECOAS-FHIS-08-2017-2,wrV3LP-LPR-IDECOAS-FHIS-08-2017-2,300.0,document
ocds-lcuori-2LmqDL-LPrNO-15-AMDC-16-2017-2,ocds-lcuori-2LmqDL-LPrNO-15-AMDC-16-2017-2/3,2LmqDL-LPrNO-15-AMDC-16-2017-2,2LmqDL-LPrNO-15-AMDC-16-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-16-AMDC-17-2017-2,ocds-lcuori-2LmqDL-LPrNO-16-AMDC-17-2017-2/3,2LmqDL-LPrNO-16-AMDC-17-2017-2,2LmqDL-LPrNO-16-AMDC-17-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-17-AMDC-18-2017-2,ocds-lcuori-2LmqDL-LPrNO-17-AMDC-18-2017-2/3,2LmqDL-LPrNO-17-AMDC-18-2017-2,2LmqDL-LPrNO-17-AMDC-18-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-19-AMDC-20-2017-2,ocds-lcuori-2LmqDL-LPrNO-19-AMDC-20-2017-2/3,2LmqDL-LPrNO-19-AMDC-20-2017-2,2LmqDL-LPrNO-19-AMDC-20-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-18-AMDC-19-2017-2,ocds-lcuori-2LmqDL-LPrNO-18-AMDC-19-2017-2/3,2LmqDL-LPrNO-18-AMDC-19-2017-2,2LmqDL-LPrNO-18-AMDC-19-2017-2,200.0,document
ocds-lcuori-7rBxpG-LPública No.46-2016-2,ocds-lcuori-7rBxpG-LPública No.46-2016-2/3,7rBxpG-LPública No.46-2016-2,7rBxpG-LPública No.46-2016-2,1200.0,document
ocds-lcuori-7rBxpG-L Pública No.45-2016-2,ocds-lcuori-7rBxpG-L Pública No.45-2016-2/3,7rBxpG-L Pública No.45-2016-2,7rBxpG-L Pública No.45-2016-2,1200.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-09-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-09-2017-2/3,wrV3LP-LPR-IDECOAS-FHIS-09-2017-2,wrV3LP-LPR-IDECOAS-FHIS-09-2017-2,300.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-11-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-11-2017-2/3,wrV3LP-LPR-IDECOAS-FHIS-11-2017-2,wrV3LP-LPR-IDECOAS-FHIS-11-2017-2,300.0,document
ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-05-2017-2,ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-05-2017-2/3,mGE4eL-LPR-IDECOAS-FHIS-05-2017-2,mGE4eL-LPR-IDECOAS-FHIS-05-2017-2,300.0,document
ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-10-2017-2,ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-10-2017-2/3,mGE4eL-LPR-IDECOAS-FHIS-10-2017-2,mGE4eL-LPR-IDECOAS-FHIS-10-2017-2,300.0,document
ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-12-2017-2,ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-12-2017-2/3,mGE4eL-LPR-IDECOAS-FHIS-12-2017-2,mGE4eL-LPR-IDECOAS-FHIS-12-2017-2,300.0,document
ocds-lcuori-2LmqDL-LPrNO-23-AMDC-24-2017-2,ocds-lcuori-2LmqDL-LPrNO-23-AMDC-24-2017-2/3,2LmqDL-LPrNO-23-AMDC-24-2017-2,2LmqDL-LPrNO-23-AMDC-24-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-20-AMDC-21-2017-2,ocds-lcuori-2LmqDL-LPrNO-20-AMDC-21-2017-2/3,2LmqDL-LPrNO-20-AMDC-21-2017-2,2LmqDL-LPrNO-20-AMDC-21-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-21-AMDC-22-2017-2,ocds-lcuori-2LmqDL-LPrNO-21-AMDC-22-2017-2/3,2LmqDL-LPrNO-21-AMDC-22-2017-2,2LmqDL-LPrNO-21-AMDC-22-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-25-AMDC-26-2017-2,ocds-lcuori-2LmqDL-LPrNO-25-AMDC-26-2017-2/3,2LmqDL-LPrNO-25-AMDC-26-2017-2,2LmqDL-LPrNO-25-AMDC-26-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-22-AMDC-23-2017-2,ocds-lcuori-2LmqDL-LPrNO-22-AMDC-23-2017-2/3,2LmqDL-LPrNO-22-AMDC-23-2017-2,2LmqDL-LPrNO-22-AMDC-23-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-24-AMDC-25-2017-2,ocds-lcuori-2LmqDL-LPrNO-24-AMDC-25-2017-2/3,2LmqDL-LPrNO-24-AMDC-25-2017-2,2LmqDL-LPrNO-24-AMDC-25-2017-2,200.0,document
ocds-lcuori-MrMPYR-LPN-CNBS-01-2017-2,ocds-lcuori-MrMPYR-LPN-CNBS-01-2017-2/3,MrMPYR-LPN-CNBS-01-2017-2,MrMPYR-LPN-CNBS-01-2017-2,200.0,document
ocds-lcuori-MLQ18L-LPN-HBCBH-001-2017-2,ocds-lcuori-MLQ18L-LPN-HBCBH-001-2017-2/3,MLQ18L-LPN-HBCBH-001-2017-2,MLQ18L-LPN-HBCBH-001-2017-2,500.0,document
ocds-lcuori-2LmqDL-CPuNO-002-AMDC-059-2017-2,ocds-lcuori-2LmqDL-CPuNO-002-AMDC-059-2017-2/3,2LmqDL-CPuNO-002-AMDC-059-2017-2,2LmqDL-CPuNO-002-AMDC-059-2017-2,250.0,document
ocds-lcuori-7rBxpG-LPública No.03-2017-2,ocds-lcuori-7rBxpG-LPública No.03-2017-2/3,7rBxpG-LPública No.03-2017-2,7rBxpG-LPública No.03-2017-2,1200.0,document
ocds-lcuori-JLKAbR-LP 001-2017-2,ocds-lcuori-JLKAbR-LP 001-2017-2/3,JLKAbR-LP 001-2017-2,JLKAbR-LP 001-2017-2,300.0,document
ocds-lcuori-2LmqDL-COT-01-AMDC-57-2017-2,ocds-lcuori-2LmqDL-COT-01-AMDC-57-2017-2/3,2LmqDL-COT-01-AMDC-57-2017-2,2LmqDL-COT-01-AMDC-57-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-33-AMDC-35-2017-2,ocds-lcuori-2LmqDL-LPrNO-33-AMDC-35-2017-2/3,2LmqDL-LPrNO-33-AMDC-35-2017-2,2LmqDL-LPrNO-33-AMDC-35-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-32-AMDC-34-2017-2,ocds-lcuori-2LmqDL-LPrNO-32-AMDC-34-2017-2/3,2LmqDL-LPrNO-32-AMDC-34-2017-2,2LmqDL-LPrNO-32-AMDC-34-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-31-AMDC-33-2017-2,ocds-lcuori-2LmqDL-LPrNO-31-AMDC-33-2017-2/3,2LmqDL-LPrNO-31-AMDC-33-2017-2,2LmqDL-LPrNO-31-AMDC-33-2017-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-30-AMDC-32-2017-2,ocds-lcuori-2LmqDL-LPrNO-30-AMDC-32-2017-2/3,2LmqDL-LPrNO-30-AMDC-32-2017-2,2LmqDL-LPrNO-30-AMDC-32-2017-2,200.0,document
ocds-lcuori-DL9B6G-CNT-LPN01-2017-2,ocds-lcuori-DL9B6G-CNT-LPN01-2017-2/3,DL9B6G-CNT-LPN01-2017-2,DL9B6G-CNT-LPN01-2017-2,2500.0,document
ocds-lcuori-2LmqDL-LPrNO-29-AMDC-31-2017-2,ocds-lcuori-2LmqDL-LPrNO-29-AMDC-31-2017-2/3,2LmqDL-LPrNO-29-AMDC-31-2017-2,2LmqDL-LPrNO-29-AMDC-31-2017-2,200.0,document
