ocid,id,language,publisher/name,date,tender/id,tender/localProcurementCategory,tender/procurementMethodDetails,tender/procurementMethod,tag,initiationType,buyer/id,buyer/name
ocds-lcuori-6252,ocds-lcuori-6252/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-07-31T18:41:36-06:00,6252,goodsOrServices,Convenio Marco,open,contract,tender,Dzn3Py-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA
ocds-lcuori-6972,ocds-lcuori-6972/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-09-09T10:31:45-06:00,6972,goodsOrServices,Convenio Marco,open,contract,tender,byPdJy-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA Y FINANCIERA
ocds-lcuori-7050,ocds-lcuori-7050/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-09-11T13:41:19-06:00,7050,goodsOrServices,Convenio Marco,open,contract,tender,lzlBXK-VzaYzq-aygBzq,DIRECCION DEPARTAMENTAL DE INTIBUCA
ocds-lcuori-6253,ocds-lcuori-6253/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-08-03T08:27:48-06:00,6253,goodsOrServices,Convenio Marco,open,contract,tender,wrL8Jr-byP1K8-NzBWyw,DIVISION ADMINISTRATIVA
ocds-lcuori-6973,ocds-lcuori-6973/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-09-09T10:36:59-06:00,6973,goodsOrServices,Convenio Marco,open,contract,tender,byPqXK-byP1K8-NzBWyw,UNIDAD EJECUTORA CENTRAL DE AMDC
ocds-lcuori-7051,ocds-lcuori-7051/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-09-11T14:56:21-06:00,7051,goodsOrServices,Convenio Marco,open,contract,tender,lzlBXK-VzaYzq-aygBzq,DIRECCION DEPARTAMENTAL DE INTIBUCA
ocds-lcuori-7008,ocds-lcuori-7008/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-09-10T10:45:35-06:00,7008,goodsOrServices,Convenio Marco,open,contract,tender,byPB2r-byP1K8-byP1K8,GERENCIA GENERAL
ocds-lcuori-7052,ocds-lcuori-7052/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-09-12T10:46:00-06:00,7052,goodsOrServices,Convenio Marco,open,contract,tender,NzBWWy-byP1K8-JyjxrP,PAGADURIA FUERZA AEREA HONDURE?A
ocds-lcuori-7046,ocds-lcuori-7046/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-09-11T10:27:51-06:00,7046,goodsOrServices,Convenio Marco,open,contract,tender,NzBo0y-byP1K8-by4Gzd,SUBGERENCIA AREA ADMINISTRATIVA
ocds-lcuori-7053,ocds-lcuori-7053/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-09-14T08:35:43-06:00,7053,goodsOrServices,Convenio Marco,open,contract,tender,5y28Zr-byP1K8-byP1K8,DIRECCION Y COORDINACION SUPERIOR
ocds-lcuori-7047,ocds-lcuori-7047/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-09-11T11:21:09-06:00,7047,goodsOrServices,Convenio Marco,open,contract,tender,NzBo0y-byP1K8-by4Gzd,SUBGERENCIA AREA ADMINISTRATIVA
ocds-lcuori-7054,ocds-lcuori-7054/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-09-14T10:51:50-06:00,7054,goodsOrServices,Convenio Marco,open,contract,tender,byPB2r-byP1K8-byP1K8,GERENCIA GENERAL
ocds-lcuori-7048,ocds-lcuori-7048/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2015-09-11T12:00:30-06:00,7048,goodsOrServices,Convenio Marco,open,contract,tender,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
