ocid,id,planning/budget/id,planning/budget/budgetBreakdown/0/id,planning/budget/budgetBreakdown/0/sourceParty/id,planning/budget/budgetBreakdown/0/sourceParty/name,planning/budget/budgetBreakdown/0/description
ocds-lcuori-2LmqDL-CPrNO-07-AMDC-65-2019-2,ocds-lcuori-2LmqDL-CPrNO-07-AMDC-65-2019-2/6,2LmqDL-CPrNO-07-AMDC-65-2019-2,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-vGZKAR-CM-AMD-CS-607-2019-1,ocds-lcuori-vGZKAR-CM-AMD-CS-607-2019-1/7,vGZKAR-CM-AMD-CS-607-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-NrdVGA-CM-298-SEDUC-2019-1,ocds-lcuori-NrdVGA-CM-298-SEDUC-2019-1/6,NrdVGA-CM-298-SEDUC-2019-1,1-FgLkyRb,FgLkyRb,Hispano-Hondureño,Recursos Nacionales
ocds-lcuori-mGEMGM-SEFIN-DCS-077-2019-UR-1,ocds-lcuori-mGEMGM-SEFIN-DCS-077-2019-UR-1/4,mGEMGM-SEFIN-DCS-077-2019-UR-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-PGJWKR-CM-089-BOMBEROSGL-2019-1,ocds-lcuori-PGJWKR-CM-089-BOMBEROSGL-2019-1/5,PGJWKR-CM-089-BOMBEROSGL-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-vGZKAR-CM-AMD-CS-495-2019-1,ocds-lcuori-vGZKAR-CM-AMD-CS-495-2019-1/6,vGZKAR-CM-AMD-CS-495-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-MLQ18L-LPN-HBCBH-004-2019-2,ocds-lcuori-MLQ18L-LPN-HBCBH-004-2019-2/8,MLQ18L-LPN-HBCBH-004-2019-2,1.0-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-jRDYor-CM-049-SEDIS-2019-1,ocds-lcuori-jRDYor-CM-049-SEDIS-2019-1/5,jRDYor-CM-049-SEDIS-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-PR8Q5r-19-CD-IHT-2019-2,ocds-lcuori-PR8Q5r-19-CD-IHT-2019-2/4,PR8Q5r-19-CD-IHT-2019-2,1.0-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-ZGqW9r-LPN-006-IPM-2019-2,ocds-lcuori-ZGqW9r-LPN-006-IPM-2019-2/6,ZGqW9r-LPN-006-IPM-2019-2,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
