ocid,id,awards/0/id
ocds-lcuori-orvovL-UNAH-SEAF-OC-8476.2019-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-8476.2019-1/3,orvovL-UNAH-SEAF-OC-8476.2019-1
ocds-lcuori-XRb6JR-REQ-4801-2019-1,ocds-lcuori-XRb6JR-REQ-4801-2019-1/5,XRb6JR-REQ-4801-2019-1
ocds-lcuori-ERpaDr-CM 46-19-HEP-1,ocds-lcuori-ERpaDr-CM 46-19-HEP-1/3,ERpaDr-CM 46-19-HEP-1
ocds-lcuori-Er6QoR-CM-033-LV-2019-1,ocds-lcuori-Er6QoR-CM-033-LV-2019-1/2,Er6QoR-CM-033-LV-2019-1
ocds-lcuori-2LmDVr-OCDLP-010-2019-1,ocds-lcuori-2LmDVr-OCDLP-010-2019-1/3,2LmDVr-OCDLP-010-2019-1
ocds-lcuori-KLg9wR-CM-INJUPEMP-DN-328-2019-1,ocds-lcuori-KLg9wR-CM-INJUPEMP-DN-328-2019-1/2,KLg9wR-CM-INJUPEMP-DN-328-2019-1
ocds-lcuori-7G3Myr-1247-2019-1,ocds-lcuori-7G3Myr-1247-2019-1/3,7G3Myr-1247-2019-1
ocds-lcuori-PR8ooG-CM-281-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-281-CONAPID-2019-1/2,PR8ooG-CM-281-CONAPID-2019-1
ocds-lcuori-PLeQ0L-CM-MEP-1336-19-1,ocds-lcuori-PLeQ0L-CM-MEP-1336-19-1/6,PLeQ0L-CM-MEP-1336-19-1
ocds-lcuori-grxELe-319-2019-SAG-1,ocds-lcuori-grxELe-319-2019-SAG-1/5,grxELe-319-2019-SAG-1
ocds-lcuori-kR0Q0r-CM-ENAG-1480-2019-1,ocds-lcuori-kR0Q0r-CM-ENAG-1480-2019-1/6,kR0Q0r-CM-ENAG-1480-2019-1
ocds-lcuori-7GXbbr-CM-MCH-0252-19-1,ocds-lcuori-7GXbbr-CM-MCH-0252-19-1/4,7GXbbr-CM-MCH-0252-19-1
ocds-lcuori-orvovL-UNAH-SEAF-OC-9218-2019-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-9218-2019-1/2,orvovL-UNAH-SEAF-OC-9218-2019-1
ocds-lcuori-7GXbbr-CM-MCH-0255-19-1,ocds-lcuori-7GXbbr-CM-MCH-0255-19-1/4,7GXbbr-CM-MCH-0255-19-1
ocds-lcuori-jRDA5r-SOLICITUD851-1,ocds-lcuori-jRDA5r-SOLICITUD851-1/4,jRDA5r-SOLICITUD851-1
ocds-lcuori-XRbOkr-CS-CSJ-2019-1343-1,ocds-lcuori-XRbOkr-CS-CSJ-2019-1343-1/2,XRbOkr-CS-CSJ-2019-1343-1
ocds-lcuori-grxKER-DGMM-CM-0155-2019-1,ocds-lcuori-grxKER-DGMM-CM-0155-2019-1/5,grxKER-DGMM-CM-0155-2019-1
ocds-lcuori-JL7qER-1000020016-1,ocds-lcuori-JL7qER-1000020016-1/2,JL7qER-1000020016-1
ocds-lcuori-PR8ooG-CM-169-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-169-CONAPID-2019-1/5,PR8ooG-CM-169-CONAPID-2019-1
ocds-lcuori-yRlm9r-CM-UNACIFOR-JULIO-239-2019-1,ocds-lcuori-yRlm9r-CM-UNACIFOR-JULIO-239-2019-1/4,yRlm9r-CM-UNACIFOR-JULIO-239-2019-1
ocds-lcuori-XRb6JR-REQ-4849-2019-1,ocds-lcuori-XRb6JR-REQ-4849-2019-1/5,XRb6JR-REQ-4849-2019-1
ocds-lcuori-XRb6JR-REQ-4826-2019-1,ocds-lcuori-XRb6JR-REQ-4826-2019-1/5,XRb6JR-REQ-4826-2019-1
ocds-lcuori-XRb6JR-REQ-4823-2019-1,ocds-lcuori-XRb6JR-REQ-4823-2019-1/5,XRb6JR-REQ-4823-2019-1
ocds-lcuori-mrY1dr-CM-850-SEDS-2019-1,ocds-lcuori-mrY1dr-CM-850-SEDS-2019-1/5,mrY1dr-CM-850-SEDS-2019-1
ocds-lcuori-mrYvzL-035-DDECH-2019-1,ocds-lcuori-mrYvzL-035-DDECH-2019-1/2,mrYvzL-035-DDECH-2019-1
ocds-lcuori-MrMPYR-290-2019-1,ocds-lcuori-MrMPYR-290-2019-1/2,MrMPYR-290-2019-1
ocds-lcuori-oLjPmR-CM-061-DECAD-2019-1,ocds-lcuori-oLjPmR-CM-061-DECAD-2019-1/5,oLjPmR-CM-061-DECAD-2019-1
ocds-lcuori-MLQmwL-CM-211-2019-1,ocds-lcuori-MLQmwL-CM-211-2019-1/4,MLQmwL-CM-211-2019-1
ocds-lcuori-Zr5B9L-CM-SESAL-NC-0810-P-0639-2019-1,ocds-lcuori-Zr5B9L-CM-SESAL-NC-0810-P-0639-2019-1/2,Zr5B9L-CM-SESAL-NC-0810-P-0639-2019-1
ocds-lcuori-PLeQ0L-CM-MEP-1347-19-1,ocds-lcuori-PLeQ0L-CM-MEP-1347-19-1/6,PLeQ0L-CM-MEP-1347-19-1
ocds-lcuori-PLeQ0L-CM-MEP-1351-19-1,ocds-lcuori-PLeQ0L-CM-MEP-1351-19-1/5,PLeQ0L-CM-MEP-1351-19-1
ocds-lcuori-PLeQ0L-CM-MEP-1353-19-1,ocds-lcuori-PLeQ0L-CM-MEP-1353-19-1/6,PLeQ0L-CM-MEP-1353-19-1
ocds-lcuori-kR0Q0r-CM-ENAG-1483-2019-1,ocds-lcuori-kR0Q0r-CM-ENAG-1483-2019-1/5,kR0Q0r-CM-ENAG-1483-2019-1
ocds-lcuori-JL7qER-100020023-1,ocds-lcuori-JL7qER-100020023-1/2,JL7qER-100020023-1
ocds-lcuori-kR0Q0r-CM-ENAG-1538-2019-1,ocds-lcuori-kR0Q0r-CM-ENAG-1538-2019-1/3,kR0Q0r-CM-ENAG-1538-2019-1
ocds-lcuori-grxKER-DGMM-CM-0158-2019-1,ocds-lcuori-grxKER-DGMM-CM-0158-2019-1/4,grxKER-DGMM-CM-0158-2019-1
ocds-lcuori-grxKER-DGMM-CM-0161-2019-1,ocds-lcuori-grxKER-DGMM-CM-0161-2019-1/4,grxKER-DGMM-CM-0161-2019-1
ocds-lcuori-gGywVr-209-2019-1,ocds-lcuori-gGywVr-209-2019-1/4,gGywVr-209-2019-1
ocds-lcuori-jRDYor-CM-102-SEDIS-2019-1,ocds-lcuori-jRDYor-CM-102-SEDIS-2019-1/5,jRDYor-CM-102-SEDIS-2019-1
ocds-lcuori-7GX94R-cm-mo-01-2019-1,ocds-lcuori-7GX94R-cm-mo-01-2019-1/2,7GX94R-cm-mo-01-2019-1
ocds-lcuori-jRDA5r-SOLICITUD637-1,ocds-lcuori-jRDA5r-SOLICITUD637-1/4,jRDA5r-SOLICITUD637-1
ocds-lcuori-PLeQ0L-CM-MEP-2165-19-1,ocds-lcuori-PLeQ0L-CM-MEP-2165-19-1/2,PLeQ0L-CM-MEP-2165-19-1
ocds-lcuori-jRDA5r-SOLICITUD640-1,ocds-lcuori-jRDA5r-SOLICITUD640-1/4,jRDA5r-SOLICITUD640-1
ocds-lcuori-PLeQ0L-CM-MEP-2166-19-1,ocds-lcuori-PLeQ0L-CM-MEP-2166-19-1/2,PLeQ0L-CM-MEP-2166-19-1
ocds-lcuori-7GXbbr-CM-MCH-0257-19-1,ocds-lcuori-7GXbbr-CM-MCH-0257-19-1/4,7GXbbr-CM-MCH-0257-19-1
ocds-lcuori-jRDA5r-SOLICITUD751-1,ocds-lcuori-jRDA5r-SOLICITUD751-1/4,jRDA5r-SOLICITUD751-1
ocds-lcuori-7GX94R-CM-05-BOMBEROS-SRC-2019-1,ocds-lcuori-7GX94R-CM-05-BOMBEROS-SRC-2019-1/2,7GX94R-CM-05-BOMBEROS-SRC-2019-1
ocds-lcuori-7GX94R-CM-03-PRUEBA-SC002-2019-1,ocds-lcuori-7GX94R-CM-03-PRUEBA-SC002-2019-1/2,7GX94R-CM-03-PRUEBA-SC002-2019-1
ocds-lcuori-7GX94R-CM-MO-002-2019-1,ocds-lcuori-7GX94R-CM-MO-002-2019-1/2,7GX94R-CM-MO-002-2019-1
ocds-lcuori-jRDA5r-SOLICITUD686-1,ocds-lcuori-jRDA5r-SOLICITUD686-1/4,jRDA5r-SOLICITUD686-1
ocds-lcuori-grxKER-DGMM-CM-0228-2019-1,ocds-lcuori-grxKER-DGMM-CM-0228-2019-1/3,grxKER-DGMM-CM-0228-2019-1
