ocid,id,contracts/0/id,contracts/0/guarantees/0/id,contracts/0/guarantees/0/guaranteeType,contracts/0/guarantees/0/guarantor/id,contracts/0/guarantees/0/guarantor/name
ocds-lcuori-kR05rP-LPR-030-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-030-UDEIP-INSEP-2019-2/4,kR05rP-LPR-030-UDEIP-INSEP-2019,kR05rP-LPR-030-UDEIP-INSEP-2019,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-7rBxpG-LPública No.23-2019-2,ocds-lcuori-7rBxpG-LPública No.23-2019-2/6,7rBxpG-005-2020,7rBxpG-005-2020,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-7GXMRV-LPN-001-DGOP-EE. PP-2019 -2,ocds-lcuori-7GXMRV-LPN-001-DGOP-EE. PP-2019 -2/5,7GXMRV-003-CO-DGOP-INSEP,7GXMRV-003-CO-DGOP-INSEP,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-7GXMRV-CP-002-DGOP-EE.PP-2019-2,ocds-lcuori-7GXMRV-CP-002-DGOP-EE.PP-2019-2/4,7GXMRV-004-SU-DGOP-INSEP-2019,7GXMRV-004-SU-DGOP-INSEP-2019,suretyBond,GkG1DLQ,Seguros del País S.A.
ocds-lcuori-vGZKAR-CM-AMD-UTM-100-2019-1,ocds-lcuori-vGZKAR-CM-AMD-UTM-100-2019-1/2,vGZKAR-UTM CONT 201-2019,vGZKAR-UTM CONT 201-2019,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-7rBxpG-LPÚBLICA NO.28-2019-2,ocds-lcuori-7rBxpG-LPÚBLICA NO.28-2019-2/3,7rBxpG-004-2020,7rBxpG-004-2020,check,GvGZwRM,Banco Financiera Comercial S.A.
ocds-lcuori-grxXEr-L.P. 061-2019-2,ocds-lcuori-grxXEr-L.P. 061-2019-2/2,grxXEr-3405,grxXEr-3405,check,G8L4PLY,Banco de América Central de Honduras
ocds-lcuori-7GXmzR-LP-007-2019 CCIVS -2,ocds-lcuori-7GXmzR-LP-007-2019 CCIVS -2/4,7GXmzR-P8-021-2019 CCIVS,7GXmzR-P8-021-2019 CCIVS,suretyBond,GNLPKrv,Compañía de Seguros Interamericana S.A.
ocds-lcuori-7GXMRV-LP-021-DGOP-OOUU. -2019-2,ocds-lcuori-7GXMRV-LP-021-DGOP-OOUU. -2019-2/2,7GXMRV-020-CO-DGOP-INSEP-2019,7GXMRV-020-CO-DGOP-INSEP-2019,suretyBond,GkG1DLQ,Seguros del País S.A.
ocds-lcuori-7GXMRV-LP-012-DGOP-OOUU. -2019-2,ocds-lcuori-7GXMRV-LP-012-DGOP-OOUU. -2019-2/2,7GXMRV-027-CO-DGOP-INSEP-2019,7GXMRV-027-CO-DGOP-INSEP-2019,suretyBond,GwrV3LP,Seguros Crefisa S.A.
