ocid,id,contracts/0/id,contracts/0/guarantees/0/id,contracts/0/guarantees/0/guaranteeType,contracts/0/guarantees/0/guarantor/id,contracts/0/guarantees/0/guarantor/name
ocds-lcuori-Zr57xG-CM-003-IMFFAA-2016-1,ocds-lcuori-Zr57xG-CM-003-IMFFAA-2016-1/4,Zr57xG-CM-003-IMFFAA-2016,Zr57xG-CM-003-IMFFAA-2016,check,G7GXMRV,Banco del País S.A.
ocds-lcuori-Zr57xG-CM-004-IMFFAA-2016-1,ocds-lcuori-Zr57xG-CM-004-IMFFAA-2016-1/4,Zr57xG-CM-005-IMFFAA-2016,Zr57xG-CM-005-IMFFAA-2016,check,G7GXMRV,Banco del País S.A.
ocds-lcuori-kR2qdG-LP-08-HRSC-2016-2,ocds-lcuori-kR2qdG-LP-08-HRSC-2016-2/3,kR2qdG-05,kR2qdG-05,check,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-NLP4qL-LPNS-009-2016-2,ocds-lcuori-NLP4qL-LPNS-009-2016-2/3,NLP4qL-CB-002-2016,NLP4qL-CB-002-2016,suretyBond,G7GXMRV,Banco del País S.A.
ocds-lcuori-7G3MNr-LPRI 092016-2,ocds-lcuori-7G3MNr-LPRI 092016-2/3,7G3MNr-LPRI 092016,7G3MNr-LPRI 092016,check,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-JLKQxR-LP. 017-16-2,ocds-lcuori-JLKQxR-LP. 017-16-2/3,JLKQxR-3594,JLKQxR-3594,check,GoLj6LM,Banco Mercantil S.A.
ocds-lcuori-JLKQxR-LP. 018-16-2,ocds-lcuori-JLKQxR-LP. 018-16-2/3,JLKQxR-3596,JLKQxR-3596,check,GZGqwr0,Banco HSBC Honduras S.A 
ocds-lcuori-wrVn3r-LP11-HSI-2016-2,ocds-lcuori-wrVn3r-LP11-HSI-2016-2/3,wrVn3r-11-16,wrVn3r-11-16,,G7GXMRV,Banco del País S.A.
ocds-lcuori-grxXEr-LP. 020-16-2,ocds-lcuori-grxXEr-LP. 020-16-2/3,grxXEr-2898,grxXEr-2898,check,GoLj6LM,Banco Mercantil S.A.
ocds-lcuori-grxXEr-LP.022-16-2,ocds-lcuori-grxXEr-LP.022-16-2/3,grxXEr-2900,grxXEr-2900,check,GoLj6LM,Banco Mercantil S.A.
ocds-lcuori-yRlaDr-LP. 006-2016-2,ocds-lcuori-yRlaDr-LP. 006-2016-2/3,yRlaDr-031-16,yRlaDr-031-16,check,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-yRlaDr-LP. 009-2016-2,ocds-lcuori-yRlaDr-LP. 009-2016-2/3,yRlaDr-032-16,yRlaDr-032-16,check,GEr6JrN,Banco La Fise S.A.
