ocid,id,planning/budget/id,planning/budget/budgetBreakdown/0/id,planning/budget/budgetBreakdown/0/description,planning/budget/budgetBreakdown/0/sourceParty/id,planning/budget/budgetBreakdown/0/sourceParty/name
ocds-lcuori-gRNjoR-CM-008-HBCBH-2016-1,ocds-lcuori-gRNjoR-CM-008-HBCBH-2016-1/3,gRNjoR-CM-008-HBCBH-2016-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-ERpWgG-SRE-COTIZACION No.071-2016-1,ocds-lcuori-ERpWgG-SRE-COTIZACION No.071-2016-1/3,ERpWgG-SRE-COTIZACION No.071-2016-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-yRlZYL-SEP-GA-33-2016-1,ocds-lcuori-yRlZYL-SEP-GA-33-2016-1/3,yRlZYL-SEP-GA-33-2016-1,1-FgRNyG6,Recursos Nacionales,FgRNyG6,Fondo Común 
ocds-lcuori-4LOxWG-50-2016-2,ocds-lcuori-4LOxWG-50-2016-2/3,4LOxWG-50-2016-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-51-2016-2,ocds-lcuori-4LOxWG-51-2016-2/3,4LOxWG-51-2016-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-mrY67L-LP0609-2016RSGD-2,ocds-lcuori-mrY67L-LP0609-2016RSGD-2/3,mrY67L-LP0609-2016RSGD-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-kR0Q0r-CM-ENAG-478-2016-1,ocds-lcuori-kR0Q0r-CM-ENAG-478-2016-1/3,kR0Q0r-CM-ENAG-478-2016-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-mGEMGM-DCS-038-2016-1,ocds-lcuori-mGEMGM-DCS-038-2016-1/4,mGEMGM-DCS-038-2016-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-MLQmwL-CM-050-2016-1,ocds-lcuori-MLQmwL-CM-050-2016-1/3,MLQmwL-CM-050-2016-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-mrY67L-LP0909-2016RSGD-2,ocds-lcuori-mrY67L-LP0909-2016RSGD-2/3,mrY67L-LP0909-2016RSGD-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-2LmDVr-CM-001-DDELP-2016-1,ocds-lcuori-2LmDVr-CM-001-DDELP-2016-1/3,2LmDVr-CM-001-DDELP-2016-1,1-FgRNyG6,Recursos Nacionales,FgRNyG6,Fondo Común 
ocds-lcuori-0rwYG8-SOLPED-20001584-1,ocds-lcuori-0rwYG8-SOLPED-20001584-1/4,0rwYG8-SOLPED-20001584-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-orvOoL-N° 10-2016-HEU-ILH-2,ocds-lcuori-orvOoL-N° 10-2016-HEU-ILH-2/3,orvOoL-N° 10-2016-HEU-ILH-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-WRzbRe-LPN-DGC-DC-001-2016-2,ocds-lcuori-WRzbRe-LPN-DGC-DC-001-2016-2/3,WRzbRe-LPN-DGC-DC-001-2016-2,1.0-FgLkyRb,Recursos Nacionales,FgLkyRb,Hispano-Hondureño
ocds-lcuori-JL7pEG-085-2016-SAG-1,ocds-lcuori-JL7pEG-085-2016-SAG-1/3,JL7pEG-085-2016-SAG-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-PR8dYR-041-2016-1,ocds-lcuori-PR8dYR-041-2016-1/3,PR8dYR-041-2016-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-NLPAVG-2016-026-FN-INAM-1,ocds-lcuori-NLPAVG-2016-026-FN-INAM-1/3,NLPAVG-2016-026-FN-INAM-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-WRzbRe-CPR No. 003-DGC-UATSV-2016 -2,ocds-lcuori-WRzbRe-CPR No. 003-DGC-UATSV-2016 -2/3,WRzbRe-CPR No. 003-DGC-UATSV-2016 -2,1.0-FgLkyRb,Recursos Nacionales,FgLkyRb,Hispano-Hondureño
ocds-lcuori-PR8dYR-043-016-1,ocds-lcuori-PR8dYR-043-016-1/3,PR8dYR-043-016-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-WRzbRe-LPN-DGC-UCP-003-2016-2,ocds-lcuori-WRzbRe-LPN-DGC-UCP-003-2016-2/3,WRzbRe-LPN-DGC-UCP-003-2016-2,1-FgLkyRb,Recursos Nacionales,FgLkyRb,Hispano-Hondureño
ocds-lcuori-Zr5B9L-C-0729-2016-PE-0620-2016-1,ocds-lcuori-Zr5B9L-C-0729-2016-PE-0620-2016-1/3,Zr5B9L-C-0729-2016-PE-0620-2016-1,1-FMrMgGe,Recursos Nacionales,FMrMgGe,Fondo Comun
ocds-lcuori-orvPDG-LP-004-ONCAE-2016-2,ocds-lcuori-orvPDG-LP-004-ONCAE-2016-2/3,orvPDG-LP-004-ONCAE-2016-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-Zr57xG-CM-003-IMFFAA-2016-1,ocds-lcuori-Zr57xG-CM-003-IMFFAA-2016-1/4,Zr57xG-CM-003-IMFFAA-2016-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-Zr57xG-CM-004-IMFFAA-2016-1,ocds-lcuori-Zr57xG-CM-004-IMFFAA-2016-1/4,Zr57xG-CM-004-IMFFAA-2016-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-039-2016-2,ocds-lcuori-jRDkQG-HMCR-039-2016-2/3,jRDkQG-HMCR-039-2016-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-040-2016-2,ocds-lcuori-jRDkQG-HMCR-040-2016-2/3,jRDkQG-HMCR-040-2016-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-041-2016-2,ocds-lcuori-jRDkQG-HMCR-041-2016-2/3,jRDkQG-HMCR-041-2016-2,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-043-2016-2,ocds-lcuori-jRDkQG-HMCR-043-2016-2/3,jRDkQG-HMCR-043-2016-2,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-jRDkQG-HMCR-044-2016-2,ocds-lcuori-jRDkQG-HMCR-044-2016-2/3,jRDkQG-HMCR-044-2016-2,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-JLKxGl-SOLPED 40000560-1,ocds-lcuori-JLKxGl-SOLPED 40000560-1/3,JLKxGl-SOLPED 40000560-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-lRongG-LPV-01-INM-2016-2,ocds-lcuori-lRongG-LPV-01-INM-2016-2/3,lRongG-LPV-01-INM-2016-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-grxELe-33-2016-SAG-1,ocds-lcuori-grxELe-33-2016-SAG-1/3,grxELe-33-2016-SAG-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-JLKQxR-COT.017-16-1,ocds-lcuori-JLKQxR-COT.017-16-1/3,JLKQxR-COT.017-16-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-0rwYG8-SOLPED-20001577(2)-1,ocds-lcuori-0rwYG8-SOLPED-20001577(2)-1/3,0rwYG8-SOLPED-20001577(2)-1,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-1RaEMR-HJMG-LP-007-2016-2,ocds-lcuori-1RaEMR-HJMG-LP-007-2016-2/3,1RaEMR-HJMG-LP-007-2016-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-1RaEMR-HJMG-LP-006-2016-2,ocds-lcuori-1RaEMR-HJMG-LP-006-2016-2/3,1RaEMR-HJMG-LP-006-2016-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-60-2016-2,ocds-lcuori-4LOxWG-60-2016-2/3,4LOxWG-60-2016-2,1-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
