ocid,id,awards/0/id
ocds-lcuori-gRNjoR-CM-008-HBCBH-2016-1,ocds-lcuori-gRNjoR-CM-008-HBCBH-2016-1/3,gRNjoR-CM-008-HBCBH-2016-1
ocds-lcuori-Zr57xG-CM-240-IMFFAA-2016-1,ocds-lcuori-Zr57xG-CM-240-IMFFAA-2016-1/3,Zr57xG-CM-240-IMFFAA-2016-1
ocds-lcuori-XRbOkr-CS-CSJ-2016-0739-1,ocds-lcuori-XRbOkr-CS-CSJ-2016-0739-1/3,XRbOkr-CS-CSJ-2016-0739-1
ocds-lcuori-7GXa9R-CMA2-UDH-039-2016-1,ocds-lcuori-7GXa9R-CMA2-UDH-039-2016-1/4,7GXa9R-CMA2-UDH-039-2016-1
ocds-lcuori-DRWQ0L-HONDUCOR-DC-823-2016-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-823-2016-1/3,DRWQ0L-HONDUCOR-DC-823-2016-1
ocds-lcuori-XRbOkr-CS-CSJ-2016-0765-1,ocds-lcuori-XRbOkr-CS-CSJ-2016-0765-1/3,XRbOkr-CS-CSJ-2016-0765-1
ocds-lcuori-XRbOkr-CS-CSJ-2016-0766-1,ocds-lcuori-XRbOkr-CS-CSJ-2016-0766-1/3,XRbOkr-CS-CSJ-2016-0766-1
ocds-lcuori-XRb6JR-REQ-DP-42-2016-2-1,ocds-lcuori-XRb6JR-REQ-DP-42-2016-2-1/3,XRb6JR-REQ-DP-42-2016-2-1
ocds-lcuori-MrMPYR-181-2016-1,ocds-lcuori-MrMPYR-181-2016-1/3,MrMPYR-181-2016-1
ocds-lcuori-Zr57xG-CM-249-IMFFAA-2016-1,ocds-lcuori-Zr57xG-CM-249-IMFFAA-2016-1/4,Zr57xG-CM-249-IMFFAA-2016-1
ocds-lcuori-XRbOkr-CS-CSJ-2016-0789-1,ocds-lcuori-XRbOkr-CS-CSJ-2016-0789-1/3,XRbOkr-CS-CSJ-2016-0789-1
ocds-lcuori-7G3MNr-492016-1,ocds-lcuori-7G3MNr-492016-1/3,7G3MNr-492016-1
ocds-lcuori-PLeAqL-COPECO-CM-211-2016-1,ocds-lcuori-PLeAqL-COPECO-CM-211-2016-1/3,PLeAqL-COPECO-CM-211-2016-1
