ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/value/amount,tender/participationFees/0/type
ocds-lcuori-DL9YoL-LPN-006-2016-FAHM Contratacion de Servicio de tran-2,ocds-lcuori-DL9YoL-LPN-006-2016-FAHM Contratacion de Servicio de tran-2/3,DL9YoL-LPN-006-2016-FAHM Contratacion de Servicio de tran-2,DL9YoL-LPN-006-2016-FAHM Contratacion de Servicio de tran-2,500.0,document
ocds-lcuori-1RaEMR-HJMG-CM-FN-001-2016-2,ocds-lcuori-1RaEMR-HJMG-CM-FN-001-2016-2/3,1RaEMR-HJMG-CM-FN-001-2016-2,1RaEMR-HJMG-CM-FN-001-2016-2,850000.0,document
ocds-lcuori-orvDGM-LPN-DM-14-2016-2,ocds-lcuori-orvDGM-LPN-DM-14-2016-2/3,orvDGM-LPN-DM-14-2016-2,orvDGM-LPN-DM-14-2016-2,800.0,document
ocds-lcuori-2LmqDL-LPrNO-35-AMDC-49-2016-2,ocds-lcuori-2LmqDL-LPrNO-35-AMDC-49-2016-2/3,2LmqDL-LPrNO-35-AMDC-49-2016-2,2LmqDL-LPrNO-35-AMDC-49-2016-2,200.0,document
ocds-lcuori-2LmqDL-CPrNO-Diseño-01-AMDC-44-2016-2,ocds-lcuori-2LmqDL-CPrNO-Diseño-01-AMDC-44-2016-2/3,2LmqDL-CPrNO-Diseño-01-AMDC-44-2016-2,2LmqDL-CPrNO-Diseño-01-AMDC-44-2016-2,200.0,document
ocds-lcuori-DRWQ0L-HONDUCOR-DL-LIC-05-2016-2,ocds-lcuori-DRWQ0L-HONDUCOR-DL-LIC-05-2016-2/3,DRWQ0L-HONDUCOR-DL-LIC-05-2016-2,DRWQ0L-HONDUCOR-DL-LIC-05-2016-2,300.0,document
ocds-lcuori-2LmqDL-LPrNO-329-AMDC-399-2016-2,ocds-lcuori-2LmqDL-LPrNO-329-AMDC-399-2016-2/3,2LmqDL-LPrNO-329-AMDC-399-2016-2,2LmqDL-LPrNO-329-AMDC-399-2016-2,200.0,document
ocds-lcuori-PGJALo-LPN-100-020-2,ocds-lcuori-PGJALo-LPN-100-020-2/3,PGJALo-LPN-100-020-2,PGJALo-LPN-100-020-2,1000.0,document
ocds-lcuori-kG1ger-pub nacional 01-2016-2,ocds-lcuori-kG1ger-pub nacional 01-2016-2/3,kG1ger-pub nacional 01-2016-2,kG1ger-pub nacional 01-2016-2,1500.0,document
ocds-lcuori-2LmqDL-LPrNO-98-AMDC-126-2016-2,ocds-lcuori-2LmqDL-LPrNO-98-AMDC-126-2016-2/3,2LmqDL-LPrNO-98-AMDC-126-2016-2,2LmqDL-LPrNO-98-AMDC-126-2016-2,200.0,document
